Counterparty,Reference Entity/Obligation,Buy/Sell Protection,(Pay)/Receive Fixed Rate,Termination Date,Notional Amount,"Unrealized
  Appreciation/(Depreciation)",CIK,Reporting Type,Report Year
UBS AG,"Bear
  Stearns Co. Inc. 5.300%, 10/30/15",Sell,0.24,03/20/12,11239000,"(55,710)",0000002646,N-Q,07
"Citibank N.A., New York","Bear
  Stearns Co. Inc., 5.300%, 10/30/15",Sell,0.24,03/20/12,7856000,"(45,781)",0000002646,N-Q,07
"Citibank N.A., New York","Belo
  Corp., 8.000%, 11/01/08",Buy,(0.800),06/20/14,5244000,22171,0000002646,N-Q,07
"Citibank N.A., New York","Centurytel
  Inc. 7.875%, 08/15/12",Buy,(0.730),09/20/12,8176000,"(40,160)",0000002646,N-Q,07
"Citibank N.A., New York","Centurytel
  Inc. 7.875%, 08/15/12",Buy,(0.720),09/20/12,1083000,"(4,807)",0000002646,N-Q,07
Merrill Lynch International,"Centurytel
  Inc. 7.875%, 08/15/12",Buy,(0.740),09/20/12,3114000,"(23,295)",0000002646,N-Q,07
"Citibank N.A., New York","CMS
  Energy Corporation 6.875%, 12/15/15",Sell,0.82,03/20/12,1040000,"(1,109)",0000002646,N-Q,07
Merrill Lynch International,"CMS
  Energy Corporation 6.875%, 12/15/15",Sell,0.84,03/20/12,5710000,5286,0000002646,N-Q,07
UBS AG,"Domtar
  Inc. 7.875%, 10/15/11",Sell,2.6,09/20/11,2761000,139108,0000002646,N-Q,07
Morgan Stanley Capital Services Inc.,"Domtar
  Inc. 7.875%, 10/15/2011",Buy,(2.650),09/20/11,2758500,"(140,003)",0000002646,N-Q,07
"Citibank N.A., New York","Dow
  Jones CDX.EM.6 Index",Buy,(1.400),12/20/11,9301000,"(69,810)",0000002646,N-Q,07
Lehman Brothers Special Financing Inc.,"Dow
  Jones CDX.NA.HY.7 Index",Buy,(3.250),12/20/11,15442000,71634,0000002646,N-Q,07
UBS AG,"Dow
  Jones CDX.NA.HY.7 Index",Buy,(3.250),12/20/11,9333500,79724,0000002646,N-Q,07
"Citibank N.A., New York","Dow
  Jones CDX.NA.IG.6 Index
  (7-10% Tranche)",Sell,1.0025,06/20/16,16142880,"(98,874)",0000002646,N-Q,07
"Citibank N.A., New York","Dow
  Jones CDX.NA.IG.7 Index
  (30-100% Tranche)",Buy,(0.048),12/20/16,44807000,36817,0000002646,N-Q,07
