Buy/Sell,(Pay)/Receive,Termination,Notional,Appreciation/,CIK,Reporting Type,Report Year
Protection,Fixed Rate (%),Date,Amount,(Depreciation),0000002646,N-Q,07
Buy,(0.390),09/20/12,"5,827,000","3,319",0000002646,N-Q,07
Buy,(0.430),09/20/12,"3,153,000","(3,820)",0000002646,N-Q,07
Buy,(0.400),09/20/12,"6,305,000",783,0000002646,N-Q,07
Buy,(0.350),09/20/17,"5,233,000","35,594",0000002646,N-Q,07
Buy,(0.320),09/20/17,"6,645,000","155,993",0000002646,N-Q,07
Buy,(0.660),09/20/17,"6,826,000","(23,121)",0000002646,N-Q,07
Buy,(0.650),09/20/17,"3,151,000","(8,184)",0000002646,N-Q,07
Buy,(0.410),09/20/17,"5,233,000","85,636",0000002646,N-Q,07
Buy,(0.930),09/20/12,"3,505,000","21,880",0000002646,N-Q,07
Buy,(1.400),09/20/14,"3,501,000",384,0000002646,N-Q,07
Buy,(0.250),09/20/17,"6,645,000","99,213",0000002646,N-Q,07
Buy,(0.520),09/20/17,"1,410,000","(8,963)",0000002646,N-Q,07
Buy,(0.520),09/20/17,"3,151,000","(20,789)",0000002646,N-Q,07
Buy,(0.350),09/20/12,"8,729,000","(48,852)",0000002646,N-Q,07
Buy,(1.400),12/20/11,"9,301,000","55,317",0000002646,N-Q,07
Buy,(1.250),06/20/12,"17,909,000","(506,747)",0000002646,N-Q,07
Buy,(1.250),06/20/12,"17,993,000","(672,785)",0000002646,N-Q,07
Buy,(1.250),06/20/12,"4,550,000","(69,557)",0000002646,N-Q,07
Buy,(1.250),06/20/12,"14,567,000","(522,832)",0000002646,N-Q,07
Buy,(1.250),06/20/12,"11,229,000","(211,899)",0000002646,N-Q,07
Buy,(1.250),06/20/12,"14,271,138","(482,878)",0000002646,N-Q,07
Buy,(1.250),06/20/12,"11,636,000","(178,207)",0000002646,N-Q,07
Buy,(2.750),06/20/12,"10,911,000","(191,501)",0000002646,N-Q,07
Sell,2.750,06/20/12,"13,822,000","631,720",0000002646,N-Q,07
Buy,(2.750),06/20/12,"14,015,000","(327,539)",0000002646,N-Q,07
Buy,(3.750),12/20/12,"81,581,000",,0000002646,N-Q,07
Buy,(0.350),06/20/12,"425,000","(1,087)",0000002646,N-Q,07
Buy,(0.350),06/20/12,"63,370,000","(436,274)",0000002646,N-Q,07
Buy,(0.350),06/20/12,"63,370,000","(383,692)",0000002646,N-Q,07
Buy,(0.350),06/20/12,"28,535,000","(176,157)",0000002646,N-Q,07
Buy,(0.350),06/20/12,"11,318,000","(33,088)",0000002646,N-Q,07
Buy,(0.730),09/20/12,"8,176,000","(114,238)",0000002646,N-Q,07
Buy,(0.720),09/20/12,"1,083,000","(14,650)",0000002646,N-Q,07
Buy,(0.740),09/20/12,"3,114,000","(44,896)",0000002646,N-Q,07
Sell,0.820,03/20/12,"1,040,000","(4,593)",0000002646,N-Q,07
Sell,0.840,03/20/12,"5,710,000","(20,644)",0000002646,N-Q,07
Buy,(0.780),09/20/17,"12,736,000","(102,454)",0000002646,N-Q,07
Buy,(2.650),09/20/11,"2,758,500","(96,739)",0000002646,N-Q,07
Sell,2.600,09/20/11,"2,761,000","91,931",0000002646,N-Q,07
Sell,0.240,06/20/08,"21,978,000","(12,603)",0000002646,N-Q,07
Buy,(0.725),06/20/12,"7,693,000","20,477",0000002646,N-Q,07
Buy,(1.600),08/20/12,"5,850,000","(213,317)",0000002646,N-Q,07
Sell,0.240,07/20/08,"14,080,000","(3,427)",0000002646,N-Q,07
Buy,(0.740),07/20/12,"3,522,000","4,090",0000002646,N-Q,07
Buy,(0.800),07/20/12,"6,292,000","(10,867)",0000002646,N-Q,07
Buy,(0.780),07/20/12,"14,517,500","(8,547)",0000002646,N-Q,07
