Counterparty,Reference Entity/Obligation,"Buy/Sell
  Protection","(Pay)/Receive
  Fixed Rate (%)","Termination
  Date","Notional
  Amount","Unrealized
  Appreciation/
  (Depreciation)",CIK,Reporting Type,Report Year
"Lehman Brothers Special
  Financing Inc.","Agrium
  Inc. 8.250%, 02/15/11",Buy,(0.670),03/20/13,"9,767,000","$(1,313)",0000002646,N-Q,08
Barclays Bank PLC,"Alcoa
  Inc. 5.375%, 01/15/13",Buy,(0.390),09/20/12,"5,827,000","165,248",0000002646,N-Q,08
"Citibank N.A., New York","Alcoa
  Inc. 5.375%, 01/15/13",Buy,(1.000),03/20/13,"2,329,000","14,218",0000002646,N-Q,08
"Citibank N.A., New York","Alcoa
  Inc. 5.375%, 01/15/13",Buy,(0.570),12/20/17,"14,942,000","727,312",0000002646,N-Q,08
"JPMorgan Chase Bank
  N.A., New York","Alcoa
  Inc. 5.375%, 01/15/13",Buy,(0.430),09/20/12,"3,153,000","84,227",0000002646,N-Q,08
"Lehman Brothers Special
  Financing Inc.","Alcoa
  Inc. 5.375%, 01/15/13",Buy,(0.400),09/20/12,"6,305,000","176,209",0000002646,N-Q,08
"Lehman Brothers Special
  Financing Inc.","AMBAC
  Financial Group Inc. 9.375%, 08/01/11",Buy,(5.000),03/20/13,"1,323,000","3,298",0000002646,N-Q,08
UBS AG,"Australia
  and New Zealand Banking Group 4.450%, 02/05/15",Buy,(0.350),09/20/17,"5,233,000","270,036",0000002646,N-Q,08
UBS AG,"Australia
  and New Zealand Banking Group 4.450%, 02/05/15",Buy,(0.510),09/20/17,"5,067,000","438,146",0000002646,N-Q,08
Barclays Bank PLC,"Bank
  of America Corp. 6.250%, 04/15/12",Sell,0.900,03/20/13,"9,141,000","(18,181)",0000002646,N-Q,08
"Citibank N.A., New York","Bank
  of Scotland 5.125%, 12/05/13",Buy,(0.320),09/20/17,"6,645,000","1,294,197",0000002646,N-Q,08
"Citibank N.A., New York","Bank
  of Scotland 5.125%, 12/05/13",Buy,(0.660),09/20/17,"6,826,000","1,168,744",0000002646,N-Q,08
"Citibank N.A., New York","Bank
  of Scotland 5.125%, 12/05/13",Buy,(0.650),09/20/17,"3,151,000","541,694",0000002646,N-Q,08
UBS AG,"Bank
  of Scotland 5.125%, 12/05/13",Buy,(0.410),09/20/17,"5,233,000","986,580",0000002646,N-Q,08
"Lehman Brothers Special
  Financing Inc.","Belo
  Corp. 7.750%, 06/01/27",Buy,(3.450),03/20/13,"3,963,000","(77,722)",0000002646,N-Q,08
"Merrill Lynch
  International","Belo
  Corp. 7.750%, 06/01/27",Buy,(2.050),12/20/17,"6,001,000","277,679",0000002646,N-Q,08
