Counterparty (Issuer),Reference Entity,(Pay)/ReceiveFixed Rate,ExpirationDate,NotionalAmount,Fair Value,UpfrontPremiumsPaid/(Received),UnrealizedAppreciation/(Depreciation),CIK,Reporting Type,Report Year
Barclays Bank PLC,CDX.EM.19,(5.00,6/20/2018,1325,(105,) $,(108,0000012601,N-CSRS,13
Barclays Bank PLC,CDX.NA.HY.20,(5.00,6/20/2018,8500,(257,(423,166,0000012601,N-CSRS,13
Barclays Bank PLC,CDX.NA.HY.20,(5.00,6/20/2018,6500,(197,(229,32,0000012601,N-CSRS,13
Barclays Bank PLC,CMBX.NA.AAA4,(0.35,2/17/2051,1245,49,96,(47,0000012601,N-CSRS,13
Deutsche Bank AG,CMBX.NA.AAA3,(0.08,12/13/2049,1250,52,55,(3,0000012601,N-CSRS,13
JP Morgan Chase,CDX.EM.19,(5.00,6/20/2018,2700,(215,(249,34,0000012601,N-CSRS,13
JP Morgan Chase,CDX.NA. IG,(1.00,6/20/2018,7000,(43,(40,(3,0000012601,N-CSRS,13
Barclays Bank PLC,CDX.EM.19,(5.00,6/20/2018,1325,(105,) $,(108,0000012601,N-CSRS,13
Barclays Bank PLC,CDX.NA.HY.20,(5.00,6/20/2018,8500,(257,(423,166,0000012601,N-CSRS,13
Barclays Bank PLC,CDX.NA.HY.20,(5.00,6/20/2018,6500,(197,(229,32,0000012601,N-CSRS,13
Barclays Bank PLC,CMBX.NA.AAA4,(0.35,2/17/2051,1245,49,96,(47,0000012601,N-CSRS,13
Deutsche Bank AG,CMBX.NA.AAA3,(0.08,12/13/2049,1250,52,55,(3,0000012601,N-CSRS,13
JP Morgan Chase,CDX.EM.19,(5.00,6/20/2018,2700,(215,(249,34,0000012601,N-CSRS,13
JP Morgan Chase,CDX.NA. IG,(1.00,6/20/2018,7000,(43,(40,(3,0000012601,N-CSRS,13
