Counterparty (Issuer) ,Reference Entity ,Protection ,Fixed Rate ,Date ,Amount ,(Depreciation) ,CIK,Reporting Type,Report Year
Barclays Bank ,CDX.NA.HY.14 ,Buy ,(5.00)% ,06/20/2015 ,"$ 1,440 ",$ (22) ,0000012601,N-CSR,10
Barclays Bank ,CMBX.NA.AM.2 ,Buy ,(0.50)% ,03/15/2049 ,500,(1) ,0000012601,N-CSR,10
Barclays Bank ,CDX.NA.HY.14 ,Buy ,(5.00)% ,06/20/2015 ,720,(7) ,0000012601,N-CSR,10
Barclays Bank ,CDX.NA.HY.14 ,Buy ,(5.00)% ,06/20/2015 ,720,(6) ,0000012601,N-CSR,10
Barclays Bank ,CDX.NA.HY.13 ,Buy ,(5.00)% ,12/20/2014 ,1733,(18) ,0000012601,N-CSR,10
Barclays Bank ,CDX.NA.HY.13 ,Buy ,(5.00)% ,12/20/2014 ,1733,(20) ,0000012601,N-CSR,10
Goldman Sachs ,CDX.NA.HY.11 ,Buy ,(5.00)% ,12/20/2013 ,1349,(308) ,0000012601,N-CSR,10
Goldman Sachs ,CDX.NA.HY.14 ,Buy ,(5.00)% ,06/20/2015 ,1440,(18) ,0000012601,N-CSR,10
Goldman Sachs ,CMBX.NA.NNN.4 ,Buy ,(0.35)% ,02/17/2051 ,1250,(13) ,0000012601,N-CSR,10
Goldman Sachs ,CDX.NA.HY.11 ,Buy ,(5.00)% ,12/20/2013 ,435,(95) ,0000012601,N-CSR,10
Morgan Stanley ,CDX.NA.HY.13 ,Buy ,(5.00)% ,12/20/2014 ,3465,(37) ,0000012601,N-CSR,10
Morgan Stanley ,CDX.NA.HY.14 ,Buy ,(5.00)% ,06/20/2015 ,720,(6) ,0000012601,N-CSR,10
Morgan Stanley ,CDX.NA.HY.14 ,Buy ,(5.00)% ,06/20/2015 ,1440,(20) ,0000012601,N-CSR,10
Morgan Stanley ,CDX.NA.HY.14 ,Buy ,(5.00)% ,06/20/2015 ,720,(6) ,0000012601,N-CSR,10
Morgan Stanley ,CMBX.NA.AAA.2 ,Buy ,(0.07)% ,03/15/2049 ,1250,(3) ,0000012601,N-CSR,10
Morgan Stanley ,CMBX.NA.AAA.4 ,Buy ,(0.35)% ,02/17/2051 ,1250,(17) ,0000012601,N-CSR,10
