Swap Counterparty,Protection,Amount(000s),Rate,Date,CIK,Reporting Type,Report Year
"Goldman Sachs
International",Buy,5000000,1.0,6/20/14,0000045156,N-CSR,09
"Goldman Sachs
International",Buy,15000000,0.25,10/12/52,0000045156,N-CSR,09
Goldman Sachs International,Buy,10000000,3.6,6/20/14,0000045156,N-CSR,09
Goldman Sachs International,Buy,10000000,3.6,6/20/14,0000045156,N-CSR,09
"Morgan Stanley & Co.
International Ltd.",Buy,1605000,0.7,3/20/17,0000045156,N-CSR,09
"Morgan Stanley & Co.
International Ltd.",Buy,1615000,0.63,3/20/17,0000045156,N-CSR,09
Goldman Sachs International,Buy,5000000,1.0,6/20/14,0000045156,N-CSR,09
Goldman Sachs International,Buy,5000000,1.0,6/20/14,0000045156,N-CSR,09
Goldman Sachs International,Buy,5000000,5.0,9/20/14,0000045156,N-CSR,09
"Morgan Stanley & Co.
International Ltd.",Sell,1605000,1.17,3/20/17,0000045156,N-CSR,09
"Morgan Stanley & Co.
International Ltd.",Sell,1615000,1.1,3/20/17,0000045156,N-CSR,09
Goldman Sachs International,Buy,5000000,1.0,6/20/14,0000045156,N-CSR,09
