Notional,ExpirationDate,Counterparty,Buy/Sell,Receive(Pay)FixedRate,Deliverable on Default,UnrealizedAppreciation(Depreciation),Premium(Received)Paid,Value,CIK,Reporting Type,Report Year
"300,000",6/20/17,JP Morgan Chase Bank,Sell***,1.000%,Republic of Indonesia (PIMCO Rating: BAA-)**,"(1,064","(8,966","(10,030",0000067160,N-Q,12
"700,000",6/20/17,JP Morgan Chase Bank,Sell***,1.000%,Federative Republic of Brazil (PIMCO Rating: BAA)**,(632,"(7,632","(8,264",0000067160,N-Q,12
"1,300,000",3/20/16,Royal Bank of Scotland PLC,Sell***,0.250%,French Republic (PIMCO Rating: AAA)**,"(20,200","(40,017","(60,217",0000067160,N-Q,12
"600,000",3/20/16,Royal Bank of Scotland PLC,Sell***,1.000%,Japan Government (PIMCO Rating: AA-)**,"(1,585","6,663","5,078",0000067160,N-Q,12
"1,000,000",9/20/16,UBS AG,Sell***,1.000%,United Mexican States (PIMCO Rating: BAA+)**,(274,"(4,388","(4,662",0000067160,N-Q,12
"700,000",9/20/16,UBS AG,Sell***,1.000%,People s Republic of China (PIMCO Rating: AA-)**,"(4,180","3,634",(546,0000067160,N-Q,12
"100,000",9/20/16,UBS AG,Sell***,1.000%,Republic of Indonesia (PIMCO Rating: BAA-)**,(92,"(1,578","(1,670",0000067160,N-Q,12
"900,000",6/20/17,UBS AG,Sell***,1.000%,South Korea Government (PIMCO Rating: A+)**,"(1,374","(9,272","(10,646",0000067160,N-Q,12
"300,000",6/20/17,UBS AG,Sell***,1.000%,Republic of Indonesia (PIMCO Rating: BAA-)**,(783,"(9,248","(10,031",0000067160,N-Q,12
"10,500,000",6/20/17,Buy,(1.000%,CDX.IG.18,"8,341","(52,641","(44,300",,0000067160,N-Q,12
