Counterparty,NotionalAmount,ExpirationDate,Receive(Pay)FixedRate,Deliverable on Default,UnrealizedAppreciation(Depreciation),Premium(Received)Paid,Value,CIK,Reporting Type,Report Year
Goldman Sachs Bank USA,500000,6/20/17,1.000%,Italian Government,2124,2848,4972,0000067160,N-Q,14
Goldman Sachs International,1500000,3/20/19,1.000%,American International Group,5486,22615,28101,0000067160,N-Q,14
Goldman Sachs International,1300000,3/20/19,1.000%,Colombia LA,16445,"(11,882",4563,0000067160,N-Q,14
Goldman Sachs International,2000000,9/20/19,1.000%,United Mexican States,"(5,145",14645,9500,0000067160,N-Q,14
JP Morgan Chase Bank,200000,9/20/15,1.000%,Sberbank of Russia,(457,"(3,139","(3,596",0000067160,N-Q,14
JP Morgan Chase Bank,200000,6/20/16,1.000%,Republic of Indonesia,5232,"(3,707",1525,0000067160,N-Q,14
JP Morgan Chase Bank,100000,9/20/16,1.000%,Federative Republic of Brazil,811,(609,202,0000067160,N-Q,14
JP Morgan Chase Bank,100000,9/20/16,1.000%,United Mexican States,422,576,998,0000067160,N-Q,14
JP Morgan Chase Bank,1300000,3/20/19,1.000%,General Electric Capital Corp.,6546,20882,27428,0000067160,N-Q,14
JP Morgan Chase Bank,3000000,3/20/19,1.000%,Mexico LA,6153,15303,21456,0000067160,N-Q,14
JP Morgan Chase Bank,2800000,12/20/19,1.000%,Federal Republic of Brazil,"(5,176","(97,397","(102,573",0000067160,N-Q,14
UBS AG,100000,9/20/16,1.000%,Republic of Indonesia,2341,"(1,578",763,0000067160,N-Q,14
UBS AG,1000000,9/20/16,1.000%,United Mexican States,14372,"(4,388",9984,0000067160,N-Q,14
UBS AG,300000,6/20/17,1.000%,Republic of Indonesia,10887,"(9,247",1640,0000067160,N-Q,14
