Counterparty,Reference Obligation,Implied,Fixed,ExpirationDate,Notional,Value4,PremiumsPaid /(Received),UnrealizedAppreciation /(Depreciation),CIK,Reporting Type,Report Year
BBP,"Anadarko Petroleum Corp., 1.00%, 06/20/17",0.62%,1.00,06/20/2017,"(100,000)  ","1,311   ","(3,337)  ","4,681   ",0000067813,N-CSR,14
GSI,"Canadian Natural Resources Ltd., 6.25%, 03/15/38",0.18%,1.00,12/20/2015,"(500,000)  ","8,102   ","1,714   ","6,555   ",0000067813,N-CSR,14
BBP,"Federative Republic of Brazil, 12.25%, 03/06/30",1.17%,1.00,06/20/2016,"(2,400,000)  ","(9,743)  ","(7,766)  ","(1,177)  ",0000067813,N-CSR,14
GSI,"Finmeccanica Finance S.A., 5.75%, 12/12/18",2.50%,5.00,03/20/2018,"(275,141)  ","27,314   ","16,724   ","11,049   ",0000067813,N-CSR,14
GSI,"Forest Oil Corp., 7.25%, 06/15/19",4.50%,5.00,06/20/2017,"(1,000,000)  ","15,818   ","(26,250)  ","43,734   ",0000067813,N-CSR,14
GSI,"Gazprom International BV, 5.63%, 07/22/13",1.57%,1.00,03/20/2017,"(2,000,000)  ","(35,522)  ","(166,265)  ","131,409   ",0000067813,N-CSR,14
BBP,"Kingdom of Spain, 5.50%, 07/30/17",1.49%,1.00,12/20/2018,"(300,000)  ","(6,866)  ","(17,663)  ","10,897   ",0000067813,N-CSR,14
GSI,"Kingdom of Spain, 5.50%, 07/30/17",1.49%,1.00,12/20/2018,"(900,000)  ","(20,597)  ","(40,979)  ","20,683   ",0000067813,N-CSR,14
GSI,"NRG Energy Inc., 8.50%, 06/15/19",1.53%,5.00,03/20/2017,"(200,000)  ","21,845   ","(14,306)  ","36,484   ",0000067813,N-CSR,14
BBP,"People s Republic of China, 4.25%, 10/28/14",0.75%,1.00,12/20/2018,"(1,300,000)  ","15,417   ","15,476   ",374   ,0000067813,N-CSR,14
GSI,"People s Republic of China, 4.75%, 10/29/13",0.75%,1.00,12/20/2018,"(350,000)  ","4,151   ","3,959   ",308   ,0000067813,N-CSR,14
BBP,"Petrobas International Finance Co., 8.38%, 12/10/18",0.91%,1.00,03/20/2014,"(250,000)  ",48   ,(601)  ,732   ,0000067813,N-CSR,14
BBP,"Petrobas International Finance Co., 8.38%, 12/10/18",2.50%,1.00,06/20/2018,"(400,000)  ","(25,063)  ","(18,434)  ","(6,496)  ",0000067813,N-CSR,14
BBP,"Republic of Italy, 6.88%, 09/27/23",1.62%,1.00,12/20/2018,"(600,000)  ","(17,365)  ","(46,024)  ","28,860   ",0000067813,N-CSR,14
GSI,"Republic of Italy, 6.88%, 09/27/23",1.62%,1.00,12/20/2018,"(200,000)  ","(5,788)  ","(13,026)  ","7,305   ",0000067813,N-CSR,14
GSI,"Russian Federation, 7.50%, 03/31/30",1.30%,1.00,09/20/2017,"(700,000)  ","(7,517)  ","(39,779)  ","32,496   ",0000067813,N-CSR,14
BBP,"United Mexican States, 7.50%, 04/08/33",0.41%,1.00,06/20/2016,"(1,200,000)  ","17,434   ","1,067   ","16,767   ",0000067813,N-CSR,14
GSI,"United Mexican States, 5.95%, 03/19/19",0.63%,1.00,09/20/2017,"(1,600,000)  ","21,480   ","(25,181)  ","47,195   ",0000067813,N-CSR,14
"  (14,275,141)  ","4,459   ","  (380,671)  ","  391,856   ",,,,,,0000067813,N-CSR,14
