SWAP COUNTERPARTY &REFERENCE OBLIGATION,BUY/SELL PROTECTION,NOTIONAL AMOUNT(000 s),INTEREST RATE,TERMINATION DATE,APPRECIATION(DEPRECIATION),CIK,Reporting Type,Report Year
"Carnival Corp.
","Buy
",605,1.57,"March 20, 2018
",79249,0000093284,N-Q,09
"Centurytel Inc.
","Buy
",395,0.88,"September 20, 2017
",18565,0000093284,N-Q,09
"Toll Brothers, Inc.
","Buy
",770,2.9,"March 20, 2013
","(20,820",0000093284,N-Q,09
"Pitney Bowes Inc.
","Buy
",505,0.48,"March 20, 2013
",14646,0000093284,N-Q,09
"Avalonbay Communities Inc.
","Buy
",375,3.05,"March 20, 2013
",38999,0000093284,N-Q,09
"DJ CDX, N.A.
","Sell
",3316,1.4,"December 20, 2012
","(279,768",0000093284,N-Q,09
"DJ CDX, N.A.
","Sell
",4304,1.55,"June 20, 2013
","(126,244",0000093284,N-Q,09
"DJ CDX, N.A.
","Sell
",1547,1.4,"December 20, 2012
","(136,080",0000093284,N-Q,09
"DJ CDX, N.A.
","Sell
",1474,1.4,"December 20, 2012
","(127,930",0000093284,N-Q,09
"Sealed Air Corp.
","Buy
",250,1.08,"March 20, 2018
",57168,0000093284,N-Q,09
"Nordstrom, Inc.
","Buy
",485,1.15,"March 20, 2018
",102709,0000093284,N-Q,09
"Nordstrom, Inc.
","Buy
",285,1.07,"March 20, 2018
",61753,0000093284,N-Q,09
