Reference Entity,Date,Counterparty1,Amount($000),Fixed Rate(%),Appreciation($000),CIK,Reporting Type,Report Year
CMBX.NA.AAA 6/A32,5/11/63,DBAG,13900000,0.5,88000,0000105563,N-CSR,14
CMBX.NA.AAA 6/A32,5/11/63,MSCS,13205000,0.5,136000,0000105563,N-CSR,14
CMBX.NA.AAA 6/A32,5/11/63,UBSAG,13010000,0.5,46000,0000105563,N-CSR,14
CMBX.NA.AAA 6/A32,5/11/63,GSI,13900000,0.5,125000,0000105563,N-CSR,14
CMBX.NA.AAA 6/A32,5/11/63,DBAG,13900000,0.5,75000,0000105563,N-CSR,14
CMBX.NA.AAA 6/A32,5/11/63,CSFBI,13110000,0.5,195000,0000105563,N-CSR,14
CMBX.NA.AAA 6/A32,5/11/63,DBAG,12950000,0.5,186000,0000105563,N-CSR,14
CMBX.NA.AAA 6/A32,5/11/63,DBAG,25900000,0.5,392000,0000105563,N-CSR,14
CMBX.NA.AAA 6/A32,5/11/63,MSCS,24970000,0.5,358000,0000105563,N-CSR,14
CMBX.NA.AAA 6/A32,5/11/63,CSFBI,26315000,0.5,384000,0000105563,N-CSR,14
CMBX.NA.AAA 6/A32,5/11/63,MSCS,13205000,0.5,136000,0000105563,N-CSR,14
