"Effective/
                    Expiration Date",Notional Amount ($),Cash Flows Received by the Fund,Underlying Debt Obligation,Unrealized Appreciation/ (Depreciation) ($),CIK,Reporting Type,Report Year
"10/4/2007
                    12/20/2008","200,0001","Fixed   3.1%
","Ford Motor Co., 6.5%, 8/1/2018",251,0000216314,N-CSRS,08
"10/5/2007
                    12/20/2008","120,0002","Fixed   3.15%
","Ford Motor Co., 6.5%, 8/1/2018",220,0000216314,N-CSRS,08
"10/22/2007
                    12/20/2008","395,0003","Fixed   3.05%
","Ford Motor Co., 6.5%, 8/1/2018",883,0000216314,N-CSRS,08
"10/13/2007
                    12/20/2009","225,0004","Fixed   3.85%
","Ford Motor Co., 6.5%, 8/1/2018","(7,291)",0000216314,N-CSRS,08
"12/13/2007
                    12/20/2009","220,0004","Fixed   5.05%
","Ford Motor Co., 6.5%, 8/1/2018",(605),0000216314,N-CSRS,08
"10/4/2007
                    12/20/2008","210,0005","Fixed   2.6%
","General Motors Corp., 7.125%, 7/15/2013","(3,266)",0000216314,N-CSRS,08
"10/22/2007
                    12/20/2008","395,0003","Fixed   3.06%
","General Motors Corp., 7.125%, 7/15/2013","(4,204)",0000216314,N-CSRS,08
"10/3/2007
                    12/20/2008","200,0002","Fixed   3.2%
","General Motors Corp., 7.125%, 7/15/2013","(1,783)",0000216314,N-CSRS,08
"1/28/2008
                    3/20/2009","305,0003","Fixed   2.65%
","HCA, Inc., 7.7%, 3/20/2009","4,494",0000216314,N-CSRS,08
"2/19/2008
                    3/20/2009","225,0004","Fixed   3.8%
","HCA, Inc., 7.7%, 6/20/2009","6,363",0000216314,N-CSRS,08
"1/29/2008
                    3/20/2013","185,0003","Fixed   3.0%
","HCA, Inc., 7.7%, 3/20/2009","5,294",0000216314,N-CSRS,08
"11/21/2007
                    12/20/2008","220,0004","Fixed   4.02%
","Tenet Healthcare Corp., 7.375%, 2/1/2013","6,852",0000216314,N-CSRS,08
"2/26/2008
                    3/20/2009","275,0004","Fixed   5.0%
","Tenet Healthcare Corp., 7.375%, 2/1/2013","9,716",0000216314,N-CSRS,08
"12/19/2007
                    12/20/2008","290,0003","Fixed   2.9%
","Tenet Healthcare Corp., 7.375%, 2/1/2013","5,025",0000216314,N-CSRS,08
