"
Counterparty
","
Reference Asset
","
Buy/Sell Protection(2)
","
Fixed Rate
","
Maturity Date
","
Notional Amount(3)
","
Appreciation/(Depreciation)
",CIK,Reporting Type,Report Year
"

    Goldman Sachs International

","
    MetLife,
    Inc.(4)
","
    Sell
",1.0,"
    12/20/19
","
    13,348,000
","
    9,769
",0000277751,N-CSRS,15
"

    Goldman Sachs International

","
    People s Republic of China(6)
","
    Sell
",1.0,"
    12/20/19
","
    6,577,000
","
    (1,519)
",0000277751,N-CSRS,15
"

    Goldman Sachs International

","
    People s Republic of
    China(6)
","
    Sell
",1.0,"
    12/20/19
","
    13,419,000
","
    99,585
",0000277751,N-CSRS,15
"

    Goldman Sachs International

","
    Republic of
    Colombia(5)
","
    Sell
",1.0,"
    12/20/19
","
    14,284,000
","
    (238,890)
",0000277751,N-CSRS,15
"

    Goldman Sachs International

","
    United Mexican
    States(5)
","
    Sell
",1.0,"
    12/20/19
","
    6,577,000
","
    (42,103)
",0000277751,N-CSRS,15
"

    JPMorgan Chase & Co.

","
    Berkshire Hathaway,
    Inc.(4)
","
    Sell
",1.0,"
    12/20/19
","
    17,904,000
","
    5,803
",0000277751,N-CSRS,15
"

    JPMorgan Chase & Co.

","
    MetLife,
    Inc.(4)
","
    Sell
",1.0,"
    12/20/19
","
    5,000,000
","
    8,101
",0000277751,N-CSRS,15
"

    JPMorgan Chase & Co.

","
    People s Republic of
    China(6)
","
    Sell
",1.0,"
    12/20/19
","
    13,419,000
","
    120,813
",0000277751,N-CSRS,15
"

    JPMorgan Chase & Co.

","
    United Mexican
    States(5)
","
    Sell
",1.0,"
    12/20/19
","
    8,731,000
","
    (46,611)
",0000277751,N-CSRS,15
"

    Barclays Capital, Inc.

","
    Bank of America
    Corp.(4)
","
    Sell
",1.0,"
    12/20/15
","
    18,867,000
","
    (2,267)
",0000277751,N-CSRS,15
"

    Barclays Capital, Inc.

","
    Berkshire Hathaway,
    Inc.(4)
","
    Sell
",1.0,"
    12/20/19
","
    9,278,000
","
    (9,538)
",0000277751,N-CSRS,15
"

    Barclays Capital, Inc.

","
    Berkshire Hathaway,
    Inc.(4)
","
    Sell
",1.0,"
    12/20/19
","
    4,473,000
","
    (527)
",0000277751,N-CSRS,15
"

    Barclays Capital, Inc.

","
    Berkshire Hathaway,
    Inc.(4)
","
    Sell
",1.0,"
    3/20/20
","
    23,610,000
","
    (18,769)
",0000277751,N-CSRS,15
"

    Barclays Capital, Inc.

","
    Federative Republic of
    Brazil(5)
","
    Sell
",1.0,"
    12/20/19
","
    9,534,000
","
    (22,198)
",0000277751,N-CSRS,15
"

    Barclays Capital, Inc.

","
    Federative Republic of
    Brazil(5)
","
    Sell
",1.0,"
    12/20/19
","
    9,358,000
","
    (85,300)
",0000277751,N-CSRS,15
"

    Barclays Capital, Inc.

","
    General Electric Capital
    Corp.(4)
","
    Sell
",1.0,"
    12/20/15
","
    18,867,000
","
    (21,289)
",0000277751,N-CSRS,15
"

    Barclays Capital, Inc.

","
    General Electric Capital
    Corp.(4)
","
    Sell
",1.0,"
    12/20/19
","
    4,473,000
","
    (17,947)
",0000277751,N-CSRS,15
"

    Barclays Capital, Inc.

","
    Goldman Sachs Group,
    Inc.(4)
","
    Sell
",1.0,"
    12/20/15
","
    18,867,000
","
    (14,927)
",0000277751,N-CSRS,15
"

    Barclays Capital, Inc.

","
    JPMorgan Chase &
    Co.(4)
","
    Sell
",1.0,"
    12/20/15
","
    18,867,000
","
    (130)
",0000277751,N-CSRS,15
"

    Barclays Capital, Inc.

","
    MetLife,
    Inc.(4)
","
    Sell
",1.0,"
    12/20/19
","
    4,473,000
","
    6,790
",0000277751,N-CSRS,15
"

    Barclays Capital, Inc.

","
    Morgan
    Stanley(4)
","
    Sell
",1.0,"
    12/20/15
","
    18,867,000
","
    (11,878)
",0000277751,N-CSRS,15
"

    Barclays Capital, Inc.

","
    Prudential Financial,
    Inc.(4)
","
    Sell
",1.0,"
    12/20/19
","
    4,473,000
","
    4,729
",0000277751,N-CSRS,15
"

    Barclays Capital, Inc.

","
    Russian
    Federation(5)
","
    Sell
",1.0,"
    12/20/15
","
    8,946,000
","
    (248,010)
",0000277751,N-CSRS,15
"

    BNP Paribas

","
    Federative Republic of
    Brazil(5)
","
    Sell
",1.0,"
    12/20/19
","
    20,000,000
","
    (280,984)
",0000277751,N-CSRS,15
"

    BNP Paribas

","
    Goldman Sachs Group,
    Inc.(4)
","
    Sell
",1.0,"
    9/20/19
","
    17,958,000
","
    (23,023)
",0000277751,N-CSRS,15
"

    BNP Paribas

","
    Goldman Sachs Group,
    Inc.(4)
","
    Sell
",1.0,"
    12/20/19
","
    9,278,000
","
    (10,854)
",0000277751,N-CSRS,15
"

    BNP Paribas

","
    People s Republic of
    China(6)
","
    Sell
",1.0,"
    12/20/19
","
    8,946,000
","
    (14,633)
",0000277751,N-CSRS,15
"

    BNP Paribas

","
    People s Republic of
    China(6)
","
    Sell
",1.0,"
    12/20/19
","
    10,000,000
","
    12,284
",0000277751,N-CSRS,15
"

    BNP Paribas

","
    People s Republic of
    China(6)
","
    Sell
",1.0,"
    12/20/19
","
    4,126,000
","
    24,344
",0000277751,N-CSRS,15
"

    BNP Paribas

","
    People s Republic of
    China(6)
","
    Sell
",1.0,"
    12/20/19
","
    8,427,000
","
    14,666
",0000277751,N-CSRS,15
"

    BNP Paribas

","
    People s Republic of
    China(6)
","
    Sell
",1.0,"
    12/20/19
","
    6,710,000
","
    46,624
",0000277751,N-CSRS,15
"

    BNP Paribas

","
    Republic of
    Indonesia(5)
","
    Sell
",1.0,"
    12/20/19
","
    8,427,000
","
    11,501
",0000277751,N-CSRS,15
"

    BNP Paribas

","
    Republic of
    Indonesia(5)
","
    Sell
",1.0,"
    12/20/19
","
    8,946,000
","
    (43,463)
",0000277751,N-CSRS,15
"

    BNP Paribas

","
    Russian
    Federation(5)
","
    Sell
",1.0,"
    12/20/15
","
    8,645,000
","
    (221,533)
",0000277751,N-CSRS,15
"

    BNP Paribas

","
    United Mexican
    States(5)
","
    Sell
",1.0,"
    12/20/19
","
    8,946,000
","
    (94,276)
",0000277751,N-CSRS,15
"

    BNP Paribas

","
    United Mexican
    States(5)
","
    Sell
",1.0,"
    12/20/19
","
    9,386,000
","
    (73,036)
",0000277751,N-CSRS,15
"

    BNP Paribas

","
    United Mexican
    States(5)
","
    Sell
",1.0,"
    12/20/19
","
    9,600,000
","
    (75,819)
",0000277751,N-CSRS,15
"

    BNP Paribas

","
    United Mexican
    States(5)
","
    Sell
",1.0,"
    12/20/19
","
    10,000,000
","
    (61,576)
",0000277751,N-CSRS,15
"

    Citigroup Global Markets

","
    Berkshire Hathaway,
    Inc.(4)
","
    Sell
",1.0,"
    12/20/19
","
    9,386,000
","
    (4,647)
",0000277751,N-CSRS,15
"

    Citigroup Global Markets

","
    Berkshire Hathaway,
    Inc.(4)
","
    Sell
",1.0,"
    12/20/19
","
    8,427,000
","
    18,764
",0000277751,N-CSRS,15
"

    Citigroup Global Markets

","
    Berkshire Hathaway,
    Inc.(4)
","
    Sell
",1.0,"
    3/20/20
","
    10,790,000
","
    (8,578)
",0000277751,N-CSRS,15
"

    Citigroup Global Markets

","
    Federative Republic of
    Brazil(5)
","
    Sell
",1.0,"
    12/20/19
","
    9,386,000
","
    (97,917)
",0000277751,N-CSRS,15
"

    Citigroup Global Markets

","
    General Electric Capital
    Corp.(4)
","
    Sell
",1.0,"
    12/20/19
","
    8,426,000
","
    (24,630)
",0000277751,N-CSRS,15
"

    Citigroup Global Markets

","
    General Electric Capital Corp.(4)
","
    Sell
",1.0,"
    12/20/19
","
    8,662,000
","
    (27,423)
",0000277751,N-CSRS,15
"

    Citigroup Global Markets

","
    JPMorgan Chase &
    Co.(4)
","
    Sell
",1.0,"
    12/20/15
","
    5,000,000
","
    (7,696)
",0000277751,N-CSRS,15
"

    Citigroup Global Markets

","
    Markit
    MCDX.NA.23(7)
","
    Sell
",1.0,"
    12/20/19
","
    9,278,000
","
    (31,075)
",0000277751,N-CSRS,15
"

    Citigroup Global Markets

","
    People s Republic of
    China(6)
","
    Sell
",1.0,"
    12/20/19
","
    8,731,000
","
    2,489
",0000277751,N-CSRS,15
"

    Citigroup Global Markets

","
    Prudential Financial,
    Inc.(4)
","
    Sell
",1.0,"
    12/20/19
","
    5,000,000
","
    14,282
",0000277751,N-CSRS,15
"

    Citigroup Global Markets

","
    Republic of
    Colombia(5)
","
    Sell
",1.0,"
    12/20/19
","
    19,068,000
","
    (293,642)
",0000277751,N-CSRS,15
"

    Citigroup Global Markets

","
    Republic of
    Colombia(5)
","
    Sell
",1.0,"
    12/20/19
","
    17,246,000
","
    (40,253)
",0000277751,N-CSRS,15
"

    Citigroup Global Markets

","
    Republic of
    Indonesia(5)
","
    Sell
",1.0,"
    9/22/19
","
    6,723,000
","
    49,581
",0000277751,N-CSRS,15
"

    Citigroup Global Markets

","
    Russian
    Federation(5)
","
    Sell
",1.0,"
    12/20/15
","
    6,577,000
","
    (166,372)
",0000277751,N-CSRS,15
"

    Goldman Sachs International

","
    Berkshire Hathaway,
    Inc.(4)
","
    Sell
",1.0,"
    12/20/19
","
    13,348,000
","
    13,189
",0000277751,N-CSRS,15
"

    Goldman Sachs International

","
    Markit
    MCDX.NA.23(7)
","
    Sell
",1.0,"
    12/20/19
","
    10,000,000
","
    (3,730)
",0000277751,N-CSRS,15
"

    Goldman Sachs International

","
    MetLife,
    Inc.(4)
","
    Sell
",1.0,"
    12/20/19
","
    20,000,000
","
    62,883
",0000277751,N-CSRS,15
