"
Counterparty
","
Asset
","
Protection(2)
","
Rate
","
Date
","
Amount(3)
","
(Received)
","
(Depreciation)/Appreciation
",CIK,Reporting Type,Report Year
"

    Barclays Capital, Inc.

","
    Bank of America
    Corp.(4)
","
    Sell
",1.0,"
    12/20/15
","
    18,867,000
","
    153,481
","
    (2,267)
",0000277751,N-CSR,15
"

    Barclays Capital, Inc.

","
    Berkshire Hathaway,
    Inc.(4)
","
    Sell
",1.0,"
    12/20/19
","
    9,278,000
","
    223,150
","
    (9,538)
",0000277751,N-CSR,15
"

    Barclays Capital, Inc.

","
    Berkshire Hathaway,
    Inc.(4)
","
    Sell
",1.0,"
    12/20/19
","
    4,473,000
","
    103,511
","
    (527)
",0000277751,N-CSR,15
"

    Barclays Capital, Inc.

","
    Berkshire Hathaway,
    Inc.(4)
","
    Sell
",1.0,"
    3/20/20
","
    23,610,000
","
    554,663
","
    (18,769)
",0000277751,N-CSR,15
"

    Barclays Capital, Inc.

","
    Federative Republic of
    Brazil(5)
","
    Sell
",1.0,"
    12/20/19
","
    9,534,000
","
    (388,563)
","
    (22,198)
",0000277751,N-CSR,15
"

    Barclays Capital, Inc.

","
    Federative Republic of
    Brazil(5)
","
    Sell
",1.0,"
    12/20/19
","
    9,358,000
","
    (317,878)
","
    (85,300)
",0000277751,N-CSR,15
"

    Barclays Capital, Inc.

","
    General Electric Capital
    Corp.(4)
","
    Sell
",1.0,"
    12/20/15
","
    18,867,000
","
    157,658
","
    (21,289)
",0000277751,N-CSR,15
"

    Barclays Capital, Inc.

","
    General Electric Capital
    Corp.(4)
","
    Sell
",1.0,"
    12/20/19
","
    4,473,000
","
    99,023
","
    (17,947)
",0000277751,N-CSR,15
"

    Barclays Capital, Inc.

","
    Goldman Sachs Group,
    Inc.(4)
","
    Sell
",1.0,"
    12/20/15
","
    18,867,000
","
    149,305
","
    (14,927)
",0000277751,N-CSR,15
"

    Barclays Capital, Inc.

","
    JPMorgan Chase &
    Co.(4)
","
    Sell
",1.0,"
    12/20/15
","
    18,867,000
","
    155,569
","
    (130)
",0000277751,N-CSR,15
"

    Barclays Capital, Inc.

","
    MetLife,
    Inc.(4)
","
    Sell
",1.0,"
    12/20/19
","
    4,473,000
","
    71,140
","
    6,790
",0000277751,N-CSR,15
"

    Barclays Capital, Inc.

","
    Morgan
    Stanley(4)
","
    Sell
",1.0,"
    12/20/15
","
    18,867,000
","
    149,305
","
    (11,878)
",0000277751,N-CSR,15
"

    Barclays Capital, Inc.

","
    Prudential Financial,
    Inc.(4)
","
    Sell
",1.0,"
    12/20/19
","
    4,473,000
","
    94,542
","
    4,729
",0000277751,N-CSR,15
