SWAP COUNTERPARTY &REFERENCE OBLIGATION,BUY/SELL PROTECTION,NOTIONAL AMOUNT(000 s),INTEREST RATE,TERMINATION DATE,APPRECIATION(DEPRECIATION),CIK,Reporting Type,Report Year
"DJ CDX, N.A.",Sell,1060,1.4,"December 20, 2012",42071,0000311847,N-Q,08
"DJ CDX, N.A.",Sell,6435,3.75,"December 20, 2012","(55,360",0000311847,N-Q,08
"DJ CDX, N.A.",Sell,1095,1.4,"December 20, 2012",64388,0000311847,N-Q,08
"DJ CDX, N.A.",Sell,2595,5.0,"June 20, 2013",13912,0000311847,N-Q,08
"Qwest
  Capital Funding",Sell,515,3.25,"December 20, 2012","(17,901",0000311847,N-Q,08
SLM Corp.,Sell,525,4.95,"March 20, 2013",32510,0000311847,N-Q,08
SLM Corp.,Sell,525,5.0,"March 20, 2013",33512,0000311847,N-Q,08
ABX He,Buy,315,0.18,"July 25, 2045","(31,056",0000311847,N-Q,08
ABX He,Buy,315,0.18,"July 25, 2045","(27,908",0000311847,N-Q,08
"American
  Standard Inc.",Buy,330,0.5,"March 20, 2013",(10,0000311847,N-Q,08
"American
  Standard Inc.",Buy,125,0.6,"March 20, 2018",491,0000311847,N-Q,08
"American
  Standard Inc.",Buy,1020,0.5,"March 20, 2013",(31,0000311847,N-Q,08
"American
  Standard Inc.",Buy,1070,0.6,"March 20, 2018",4204,0000311847,N-Q,08
"Arrow
  Electronics Inc.",Buy,1160,1.0,"March 20, 2015","(17,666",0000311847,N-Q,08
"Arrow
  Electronics Inc.",Buy,1480,1.11,"March 20, 2013","(27,482",0000311847,N-Q,08
"Arrow
  Electronics Inc.",Buy,200,1.04,"March 20, 2018","(3,779",0000311847,N-Q,08
"Arrow
  Electronics Inc.",Buy,2710,1.4,"March 20, 2013","(84,484",0000311847,N-Q,08
"Avalonbay
  Communities",Buy,1625,2.2,"June 20, 2013","(73,340",0000311847,N-Q,08
"Avalonbay
  Communities",Buy,1785,3.05,"March 20, 2013","(143,485",0000311847,N-Q,08
"Carnival
  Corp.",Buy,1085,1.57,"March 20, 2018","(38,345",0000311847,N-Q,08
"Carnival
  Corp.",Buy,90,1.6,"March 20, 2018","(2,229",0000311847,N-Q,08
"Carnival
  Corp.",Buy,1065,1.5,"March 20, 2018","(21,791",0000311847,N-Q,08
