COUNTERPARTY/  REFERENCE OBLIGATIONS  ,NOTIONAL AMOUNT2    ,BUY/SELL  PROTECTION ,(PAY)/  RECEIVE  FIXED RATE  ,MATURITY  DATE  ,UNREALIZED  APPRECIATION (DEPRECIATION)   ,  ,CIK,Reporting Type,Report Year
" Morgan Stanley  /Abitibi-Consolidated, Inc.  ","$3,000,000  ",Sell  ,8.00%  ,Sep 2012  ,"($2,126,005)  ",,0000315554,N-CSRS,09
" Morgan Stanley  /American Airlines, Inc.  ",3000000,Sell  ,6.6,Sep 2012  ,"(1,357,093)  ",,0000315554,N-CSRS,09
" Lehman Brothers  /American Airlines, Inc.  ",2000000,Sell  ,5,Mar 2013  ,"(1,014,224)  ",,0000315554,N-CSRS,09
Morgan Stanley  / AMR Corp.  ,6000000,Sell  ,5,Sep 2010  ,"(2,366,123)  ",,0000315554,N-CSRS,09
 Morgan Stanley  /AMR Corp.  ,5000000,Sell  ,5,Sep 2010  ,"(1,980,450)  ",,0000315554,N-CSRS,09
"Morgan Stanley  / BoWater, Inc.  ",3000000,Sell  ,7,Sep 2012  ,"(1,790,881)  ",,0000315554,N-CSRS,09
" Morgan Stanley  /Delta Airlines, Inc.  ",10000000,Sell  ,5,Sep 2013  ,"(2,689,524)  ",,0000315554,N-CSRS,09
 Morgan Stanley  / Texas Competitive  Electric Holdings  ,10000000,Sell  ,4.6,Jun 2013  ,"(1,943,439)  ",,0000315554,N-CSRS,09
 Morgan Stanley  / Texas Competitive  Electric Holdings  ,5000000,Sell  ,5.85,Jun 2013  ,"(941,724)  ",,0000315554,N-CSRS,09
  ,  ,,,,,,0000315554,N-CSRS,09
