Reference,Counter,NotionalAmount,Fund (Pays)/ReceivesFixed Rate,TerminationDate,MarketValue$,CIK,Reporting Type,Report Year
ABX - HE Index for Sub-Prime Home Equity Sector,Barclays Bank PLC,"2,500",0.760%,01/25/38,"(1,817",0000351601,N-CSR,09
ABX - HE Index for Sub-Prime Home Equity Sector,JP Morgan,"2,750",0.090%,08/25/37,"(2,038",0000351601,N-CSR,09
ABX - HE Index for Sub-Prime Home Equity Sector,JP Morgan,"1,300",0.170%,05/25/46,"(1,210",0000351601,N-CSR,09
CMBS AAA Index,Credit Suisse First Boston,850,(0.350%,02/17/51,228,0000351601,N-CSR,09
CMBS AAA Index,Credit Suisse First Boston,800,(0.080%,12/13/49,213,0000351601,N-CSR,09
CMBS AAA Index,Credit Suisse First Boston,"1,350",(0.070%,03/15/49,312,0000351601,N-CSR,09
CMBS AAA Index,Deutsche Bank,640,(0.080%,12/13/49,170,0000351601,N-CSR,09
CMBS AAA Index,JP Morgan,"1,350",(0.100%,10/12/52,229,0000351601,N-CSR,09
CMBS AAA Index,JP Morgan,"1,950",(0.080%,12/13/49,519,0000351601,N-CSR,09
CMBX AAA Index,JP Morgan,"1,520",(0.350%,02/17/51,408,0000351601,N-CSR,09
CMBX AJ Index,Barclays Bank PLC,"1,600",(0.840%,10/12/52,927,0000351601,N-CSR,09
CMBX AJ Index,Barclays Bank PLC,"1,600",(0.840%,10/12/52,927,0000351601,N-CSR,09
CMBX AJ Index,Barclays Bank PLC,"4,320",(0.840%,10/12/52,"2,502",0000351601,N-CSR,09
CMBX AJ Index,Credit Suisse First Boston,865,(0.840%,10/12/52,502,0000351601,N-CSR,09
Dow Jones CDX Index,Chase Securities Inc.,400,1.120%,12/20/12,(1,0000351601,N-CSR,09
Dow Jones CDX Index,Deutsche Bank,300,(1.000%,06/20/14,9,0000351601,N-CSR,09
Dow Jones CDX Index,Deutsche Bank,"1,556",0.708%,12/20/12,,0000351601,N-CSR,09
Dow Jones CDX Index,Goldman Sachs,292,0.548%,12/20/17,(1,0000351601,N-CSR,09
Dow Jones CDX Index,Goldman Sachs,"1,300",1.120%,12/20/12,(2,0000351601,N-CSR,09
Dow Jones CDX Index,JP Morgan,681,0.553%,12/20/17,(1,0000351601,N-CSR,09
Dow Jones CDX Index,Merrill Lynch,"1,000",1.833%,06/20/12,(312,0000351601,N-CSR,09
Dow Jones CDX Index,Morgan Stanley,"5,542",0.771%,12/20/12,31,0000351601,N-CSR,09
Dow Jones CDX Index,Morgan Stanley,600,0.963%,12/20/12,(4,0000351601,N-CSR,09
