Counterparty(a),TerminationDate,NotionalAmount(000),FixedRate,Underlying Bond,UnrealizedAppreciation,CIK,Reporting Type,Report Year
Merrill Lynch International,1/7/05,1500,1.04%,"Russian Federation, 5.00%, due 3/31/30",1516,0000711175,N-CSRS,04
Morgan Stanley,12/20/08,200,0.26,"Allstate Corp., 6.125%, due 2/15/12",(73,0000711175,N-CSRS,04
UBS,12/20/08,200,0.35,"AutoZone, Inc., 5.875%, due 10/15/12",1855,0000711175,N-CSRS,04
Barclays,12/20/08,100,0.67,"Clear Channel Communication, Inc., 7.65%, due 9/15/10",311,0000711175,N-CSRS,04
Citigroup,12/20/08,200,0.28,"Eaton Corp., 5.75%, due 7/15/12",(365,0000711175,N-CSRS,04
"Bank of America, N.A.",12/20/08,100,0.13,"E.I. DuPont de Nemours & Co., 6.875%, due 10/15/09",248,0000711175,N-CSRS,04
Barclays,12/20/08,200,0.16,"Eli Lilly & Co., Inc., 6.00%, due 3/15/12",(166,0000711175,N-CSRS,04
Morgan Stanley,12/20/08,100,0.21,"Emerson Electric Co., 4.625%, due 10/15/12",124,0000711175,N-CSRS,04
Citigroup,12/20/08,100,0.29,"FedEx Corp., 7.25%, due 2/15/11",356,0000711175,N-CSRS,04
Bear Stearns,06/20/05,1700,0.55,"General Motors Acceptance Corp., 6.875%, due 8/28/12",(424,0000711175,N-CSRS,04
Bear Stearns (b),06/20/05,1700,0.69,"General Motors Corp., 7.125%, due 7/15/13",3236,0000711175,N-CSRS,04
Lehman Brothers,12/20/08,100,0.97,"Goodrich Corp., 7.625%, due 12/15/12","(1,054",0000711175,N-CSRS,04
Bear Stearns,12/20/08,200,0.32,"Hewlett Packard Co., 6.50%, due 7/1/12",(287,0000711175,N-CSRS,04
Merrill Lynch,12/20/08,100,0.32,"Ingersoll-Rand Co., 6.48%, due 6/1/25",271,0000711175,N-CSRS,04
Lehman Brothers,12/20/08,200,0.11,"Johnson & Johnson, 3.80%, due 5/15/13",,0000711175,N-CSRS,04
Lehman Brothers,12/20/08,100,0.53,"Lockheed Martin Corp., 8.20%, due 12/1/09",(426,0000711175,N-CSRS,04
Lehman Brothers,12/20/08,100,0.3,"Masco Corp., 5.875%, due 7/15/12",578,0000711175,N-CSRS,04
Lehman Brothers,12/20/08,100,0.48,"Northrop Grumman Corp., 7.125%, due 2/15/11",(179,0000711175,N-CSRS,04
Lehman Brothers,06/20/09,400,0.4,"People s Republic of China, 6.80%, due 5/23/11",(54,0000711175,N-CSRS,04
Lehman Brothers,12/20/08,100,0.35,"RadioShack Corp., 7.375%, due 5/15/11",150,0000711175,N-CSRS,04
Lehman Brothers,12/20/08,200,0.12,"The Home Depot, Inc., 5.375%, due 4/1/06",166,0000711175,N-CSRS,04
Barclays,12/20/08,100,0.67,"The Walt Disney Co., 6.375%, due 3/1/12",(733,0000711175,N-CSRS,04
Citigroup,12/20/08,300,0.14,"Wal-Mart Stores, Inc., 6.875%, due 8/10/09",124,0000711175,N-CSRS,04
Lehman Brothers,12/20/08,100,0.29,"Whirlpool Corp., 8.60%, due 5/1/10",1173,0000711175,N-CSRS,04
Morgan Stanley,6/20/09,"4,000",0.82%,"Tyco InternationalGroup, S.A.,6.00%, due 11/15/13","48,993",0000711175,N-CSRS,04
