SWAP COUNTERPARTY &REFERENCE OBLIGATION,BUY/SELL PROTECTION,NOTIONAL AMOUNT(000 S),INTEREST RATE,TERMINATION DATE,APPRECIATION(DEPRECIATION),CIK,Reporting Type,Report Year
"DJ CDX, N.A.",Sell,"3,360",1.4,"December 20, 2012","(71,090",0000716716,N-Q,08
"DJ CDX, N.A.",Sell,"3,520",1.4,"December 20, 2012","(78,702",0000716716,N-Q,08
"DJ CDX, N.A.",Sell,"3,460",1.4,"December 20, 2012","(67,031",0000716716,N-Q,08
"DJ CDX, N.A.",Sell,"7,530",1.4,"December 20, 2012","(141,213",0000716716,N-Q,08
"DJ CDX, N.A.",Sell,"6,090",1.4,"December 20, 2012","1,69,438",0000716716,N-Q,08
"DJ CDX, N.A.",Sell,"5,360",0.6,"December 20, 2012","(106,641",0000716716,N-Q,08
"DJ CDX, N.A.",Sell,"1,810",0.6,"December 20, 2012","(16,627",0000716716,N-Q,08
"DJ CDX, N.A.",Sell,"3,525",0.8,"December 20, 2012","(14,742",0000716716,N-Q,08
SLM Corp.,Sell,955,4.95,"March 20, 2013","(110,435",0000716716,N-Q,08
SLM Corp.,Sell,955,5.0,"March 20, 2013","(108,857",0000716716,N-Q,08
ABX.HE Indices,Buy,960,0.18,"July 25, 1945","(52,714",0000716716,N-Q,08
ABX.HE Indices,Buy,960,0.18,"July 25, 1945","(43,119",0000716716,N-Q,08
"Arrow Electronics, Inc.",Buy,"2,140",1.0,"March 20, 2015","11,259",0000716716,N-Q,08
"Arrow Electronics, Inc.",Buy,325,1.04,"March 20, 2018","2,540",0000716716,N-Q,08
"Arrow Electronics, Inc.",Buy,"2,225",1.4,"March 20, 2013",,0000716716,N-Q,08
"Arrow Electronics, Inc.",Buy,500,1.11,"March 20, 2013","(2,310",0000716716,N-Q,08
"American Standard, Inc.",Buy,"1,875",0.5,"March 20, 2013","14,121",0000716716,N-Q,08
"American Standard, Inc.",Buy,"1,970",0.6,"March 20, 2018","14,682",0000716716,N-Q,08
"American Standard, Inc.",Buy,605,0.5,"March 20, 2013","4,556",0000716716,N-Q,08
