Swap Reference Entity,Counterparty,Buy/SellCredit Protection,Notional Amount(000's),Fixed Rate,Termination Date,Unnamed: 6,Reference Entity,CIK,Reporting Type,Report Year
"Capmark Financial Group, Inc.",Goldman Sachs Bank USA,Sell,890.0,0.95,6/20/12,,,0000729968,N-CSRS,09
"CDX North America Investment Grade Index, Series 7",Deutsche Bank AG,Buy,3514.0,0.4,12/20/11,,,0000729968,N-CSRS,09
"Countrywide Home Loans, Inc.","Morgan Stanley Capital Services, Inc.",Sell,3180.0,0.42,6/20/09,,,0000729968,N-CSRS,09
Inco Ltd.:,"Morgan Stanley Capital
Services, Inc.",Buy,1055.0,0.7,3/20/17,,,0000729968,N-CSRS,09
Inco Ltd.:,"Morgan Stanley Capital
Services, Inc.",Buy,1065.0,0.63,3/20/17,,,0000729968,N-CSRS,09
"Merrill Lynch & Co., Inc.:",Barclays Bank plc,Sell,2355.0,4.15,9/20/09,,,0000729968,N-CSRS,09
"Merrill Lynch & Co., Inc.:","Merrill Lynch & Co., Inc.:",Sell,1175.0,4.15,9/20/09,,,0000729968,N-CSRS,09
Vale Overseas:,"Morgan Stanley Capital Services, Inc.",Sell,1055.0,1.17,3/20/17,,,0000729968,N-CSRS,09
Vale Overseas:,,Sell,1065.0,1.1,3/20/17,,,0000729968,N-CSRS,09
,"Morgan Stanley Capital Services, Inc.",,,,,,,0000729968,N-CSRS,09
