Counterparty,Reference Entity,Protection,(000s),Fixed Rate,Date,CIK,Reporting Type,Report Year
ABX.HE.AA.06-2 Index,Sell,750,0.17,5/25/46,580213,0000729968,N-CSR,08
"American International
Group, Inc.",Sell,535,3.0,3/20/09,"(14,365",0000729968,N-CSR,08
"American International
Group, Inc.",Sell,1480,4.0,3/20/09,"(32,718",0000729968,N-CSR,08
"American International
Group, Inc.",Sell,1290,5.35,3/20/09,"(20,255",0000729968,N-CSR,08
"Capmark Financial Group, Inc.",Sell,1020,1.0,6/20/12,"(427,783",0000729968,N-CSR,08
"Citigroup, Inc.",Sell,280,10.5,6/20/09,"(9,979",0000729968,N-CSR,08
"Dillard s, Inc.",Sell,750,1.9,12/20/08,"(7,092",0000729968,N-CSR,08
"HCP, Inc.",Sell,935,4.6,3/20/09,754,0000729968,N-CSR,08
"iStar Financial, Inc.",Sell,1000,4.4,12/20/12,"(373,285",0000729968,N-CSR,08
Kohl s Corp.,Buy,595,1.18,6/20/18,7696,0000729968,N-CSR,08
Kohl s Corp.,Sell,595,1.08,6/20/13,"(3,087",0000729968,N-CSR,08
Kohl s Corp.,Sell,600,0.9,6/20/13,"(7,657",0000729968,N-CSR,08
Kohl s Corp.,Buy,600,1.04,6/20/18,13952,0000729968,N-CSR,08
"Lehman Brothers Holdings, Inc.",Sell,2205,0.49,9/20/10,"(1,941,176",0000729968,N-CSR,08
"Lehman Brothers Holdings, Inc.",Sell,120,9.6,9/20/09,"(105,642",0000729968,N-CSR,08
"Merrill Lynch & Co., Inc.",Sell,2355,4.15,9/20/09,2833,0000729968,N-CSR,08
"Six Flags, Inc.",Sell,1075,8.25,12/20/08,"(12,635",0000729968,N-CSR,08
"The Goldman Sachs Group, Inc.",Sell,1140,5.75,12/20/09,2978,0000729968,N-CSR,08
XL Capital Ltd.,Sell,1295,3.55,9/20/09,658,0000729968,N-CSR,08
"iStar Financial, Inc.",Sell,145,4.0,12/20/12,"(55,279",0000729968,N-CSR,08
"iStar Financial, Inc.",Sell,340,12.0,3/20/09,"(31,572",0000729968,N-CSR,08
JPMorgan Chase & Co.,Sell,1545,2.088,12/20/08,640,0000729968,N-CSR,08
"Merrill Lynch & Co., Inc.",Sell,1175,4.15,9/20/09,1414,0000729968,N-CSR,08
Morgan Stanley,Sell,1575,7.8,12/20/13,"(144,929",0000729968,N-CSR,08
Rite Aid Corp.,Sell,260,7.5,3/20/09,"(11,976",0000729968,N-CSR,08
Rite Aid Corp.,Sell,650,5.0,9/20/09,39000,0000729968,N-CSR,08
Sprint Nextel Corp.,Sell,2695,6.3,3/20/09,35517,0000729968,N-CSR,08
Tribune Co.,Sell,105,5.0,12/20/09,23100,0000729968,N-CSR,08
Tribune Co.,Sell,560,5.0,12/20/09,128800,0000729968,N-CSR,08
TXU Corp.,Sell,355,5.91,12/20/12,"(27,465",0000729968,N-CSR,08
TXU Corp.,Sell,340,6.05,12/20/12,"(24,871",0000729968,N-CSR,08
TXU Corp.,Sell,355,6.0,12/20/12,"(26,503",0000729968,N-CSR,08
Vornado Realty LP,Sell,615,3.6,3/20/09,9580,0000729968,N-CSR,08
Wachovia Corp.,Sell,1215,1.0,3/20/09,"(26,039",0000729968,N-CSR,08
"Washington Mutual, Inc.",Sell,680,6.5,12/20/08,"(244,872",0000729968,N-CSR,08
"Washington Mutual, Inc.",Sell,2360,6.8,6/20/09,"(849,851",0000729968,N-CSR,08
