Swap Counterparty and Reference Obligation,"Buy/Sell
  Protection","Notional
  Amount
  (000)","Pay/Receive
  Fixed Rate","Termination
  Date",CIK,Reporting Type,Report Year
Lehman Brothers,Buy,210,0.45,3/20/18,0000741375,N-CSRS,08
Lehman Brothers,Buy,75,0.46,3/20/18,0000741375,N-CSRS,08
Lehman Brothers,Sell,600,0.6,12/20/12,0000741375,N-CSRS,08
Lehman Brothers,Sell,330,0.6,12/20/12,0000741375,N-CSRS,08
Lehman Brothers,Buy,375,0.2,12/20/11,0000741375,N-CSRS,08
Merrill Lynch,Buy,100,1.5,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,140,1.57,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,135,1.6,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,200,0.92,3/20/18,0000741375,N-CSRS,08
UBS,Buy,460,0.3,3/20/13,0000741375,N-CSRS,08
UBS,Buy,130,1.78,3/20/13,0000741375,N-CSRS,08
UBS,Buy,130,1.73,3/20/18,0000741375,N-CSRS,08
UBS,Buy,310,1.06,3/20/13,0000741375,N-CSRS,08
UBS,Buy,100,1,3/20/13,0000741375,N-CSRS,08
UBS,Buy,155,1.01,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,175,0.59,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,185,0.22,3/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,95,0.6,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,185,0.8,12/20/17,0000741375,N-CSRS,08
Goldman Sachs,Sell,180,1.4,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,380,1.4,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,180,1.4,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,175,1.4,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Buy,40,0.97,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,55,0.47,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,120,0.15,12/20/11,0000741375,N-CSRS,08
Goldman Sachs,Buy,250,0.16,12/20/11,0000741375,N-CSRS,08
Goldman Sachs,Buy,50,3.33,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,65,1.08,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,30,1.24,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,100,1.05,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,370,0.1,3/20/12,0000741375,N-CSRS,08
Goldman Sachs,Buy,350,0.12,12/20/11,0000741375,N-CSRS,08
JPMorgan Chase,Sell,380,0.6,12/20/12,0000741375,N-CSRS,08
JPMorgan Chase,Buy,35,0.6,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,55,1.07,3/20/18,0000741375,N-CSRS,08
JPMorgan Chase,Buy,55,1.15,3/20/18,0000741375,N-CSRS,08
JPMorgan Chase,Buy,45,0.58,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,65,0.63,3/20/13,0000741375,N-CSRS,08
"Bank
  of America",Buy,275,0.7,3/20/13,0000741375,N-CSRS,08
"Bank
  of America",Buy,180,0.82,3/20/18,0000741375,N-CSRS,08
"Bank
  of America",Buy,300,1.03,3/20/18,0000741375,N-CSRS,08
"Bank
  of America",Buy,90,1.08,3/20/18,0000741375,N-CSRS,08
"Bank
  of America",Buy,270,1.12,3/20/18,0000741375,N-CSRS,08
"Bank
  of America",Buy,220,0.8,3/20/18,0000741375,N-CSRS,08
"Bank
  of America",Buy,380,1.18,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,195,0.82,3/20/18,0000741375,N-CSRS,08
Citigroup,Buy,340,0.62,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,275,0.72,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,1500,0.43,3/20/12,0000741375,N-CSRS,08
"Credit
  Suisse",Buy,450,1,3/20/15,0000741375,N-CSRS,08
"Credit
  Suisse",Buy,385,1.06,3/20/13,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,355,3.05,3/20/13,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,735,0.59,3/20/13,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,780,0.22,3/20/12,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,245,0.47,3/20/18,0000741375,N-CSRS,08
"Goldman
  Sachs",Sell,390,0.6,12/20/12,0000741375,N-CSRS,08
"Goldman
  Sachs",Sell,760,0.8,12/20/17,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,200,0.97,3/20/18,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,150,0.33,3/20/13,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,510,0.15,12/20/11,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,1050,0.16,12/20/11,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,205,3.33,3/20/13,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,265,1.08,3/20/18,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,130,1.24,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,50,1.57,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,70,0.7,3/20/13,0000741375,N-CSRS,08
Bank of America,Buy,45,0.82,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,65,1.03,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,25,1.08,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,65,1.12,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,55,0.8,3/20/18,0000741375,N-CSRS,08
