Swap Counterparty and Reference Obligation,Protection,Amount(000),Fixed Rate,Date,CIK,Reporting Type,Report Year
Bank of America,Buy,220000,1.19,3/20/12,0000741375,N-CSR,07
Citigroup,Buy,430000,0.43,3/20/12,0000741375,N-CSR,07
Citigroup,Buy,225000,0.43,3/20/12,0000741375,N-CSR,07
Goldman Sachs,Buy,1100000,0.75,6/20/11,0000741375,N-CSR,07
Goldman Sachs,Buy,1450000,0.75,12/20/11,0000741375,N-CSR,07
Goldman Sachs,Buy,120000,0.15,12/20/11,0000741375,N-CSR,07
Goldman Sachs,Buy,250000,0.16,12/20/11,0000741375,N-CSR,07
Goldman Sachs,Buy,350000,0.12,12/20/11,0000741375,N-CSR,07
Goldman Sachs,Buy,370000,0.1,3/20/12,0000741375,N-CSR,07
Goldman Sachs,Buy,185000,0.22,3/20/12,0000741375,N-CSR,07
JPMorgan Chase,Buy,70000,1.18,6/20/14,0000741375,N-CSR,07
JPMorgan Chase,Buy,190000,1.3,6/20/14,0000741375,N-CSR,07
Lehman Brothers,Buy,175000,0.2,12/20/11,0000741375,N-CSR,07
