Swap Counterparty and Reference Obligation,"Buy/Sell
  Protection","Notional
  Amount
  (000)","Pay/Receive
  Fixed Rate",Termination,CIK,Reporting Type,Report Year
"Goldman
  Sachs",Buy,420000,1.05,3/20/13,0000741375,N-CSR,08
"Goldman
  Sachs",Buy,1550000,0.1,3/20/12,0000741375,N-CSR,08
"Goldman
  Sachs",Buy,1600000,0.12,12/20/11,0000741375,N-CSR,08
"JPMorgan
  Chase",Sell,1595000,0.6,12/20/12,0000741375,N-CSR,08
"JPMorgan
  Chase",Buy,120000,0.6,3/20/13,0000741375,N-CSR,08
"JPMorgan
  Chase",Buy,220000,1.07,3/20/18,0000741375,N-CSR,08
"JPMorgan
  Chase",Buy,220000,1.15,3/20/18,0000741375,N-CSR,08
"JPMorgan
  Chase",Buy,200000,0.58,3/20/13,0000741375,N-CSR,08
"JPMorgan
  Chase",Buy,255000,0.63,3/20/13,0000741375,N-CSR,08
"JPMorgan
  Chase",Buy,1300000,0.65,3/20/11,0000741375,N-CSR,08
"Lehman
  Brothers",Sell,1145000,0.6,12/20/11,0000741375,N-CSR,08
"Lehman
  Brothers",Buy,245000,0.45,3/20/18,0000741375,N-CSR,08
"Lehman
  Brothers",Buy,175000,0.46,3/20/18,0000741375,N-CSR,08
"Lehman
  Brothers",Buy,800000,0.2,12/20/11,0000741375,N-CSR,08
"Merrill
  Lynch",Buy,210000,1.5,3/20/18,0000741375,N-CSR,08
"Merrill
  Lynch",Buy,385000,1.57,3/20/18,0000741375,N-CSR,08
"Merrill
  Lynch",Buy,145000,1.6,3/20/18,0000741375,N-CSR,08
"Merrill
  Lynch",Buy,275000,0.92,3/20/18,0000741375,N-CSR,08
UBS,Buy,600000,0.3,3/20/13,0000741375,N-CSR,08
UBS,Buy,170000,1.73,3/20/18,0000741375,N-CSR,08
UBS,Buy,170000,1.78,3/20/13,0000741375,N-CSR,08
UBS,Buy,225000,1.0,3/20/13,0000741375,N-CSR,08
UBS,Buy,150000,1.01,3/20/13,0000741375,N-CSR,08
UBS,Buy,385000,1.06,3/20/13,0000741375,N-CSR,08
