Swap Counterparty and Reference Obligation,"Buy/Sell
  Protection","Notional
  Amount
  (000)","Pay/Receive
  Fixed Rate","Termination
  Date","Unrealized
  Appreciation
  (Depreciation)
  (000)",CIK,Reporting Type,Report Year
Goldman Sachs,Buy,175000,0.59,3/20/13,(@ 000,0000741375,N-CSR,08
Goldman Sachs,Buy,185000,0.22,3/20/12,nan000,0000741375,N-CSR,08
Goldman Sachs,Sell,95000,0.6,12/20/12,(1000,0000741375,N-CSR,08
Goldman Sachs,Sell,185000,0.8,12/20/17,(1000,0000741375,N-CSR,08
Goldman Sachs,Sell,180000,1.4,12/20/12,(4000,0000741375,N-CSR,08
Goldman Sachs,Sell,380000,1.4,12/20/12,(7000,0000741375,N-CSR,08
Goldman Sachs,Sell,180000,1.4,12/20/12,(4000,0000741375,N-CSR,08
Goldman Sachs,Sell,175000,1.4,12/20/12,(4000,0000741375,N-CSR,08
Goldman Sachs,Buy,40000,0.97,3/20/18,(@ 000,0000741375,N-CSR,08
Goldman Sachs,Buy,55000,0.47,3/20/18,nan000,0000741375,N-CSR,08
Goldman Sachs,Buy,120000,0.15,12/20/11,11000,0000741375,N-CSR,08
Goldman Sachs,Buy,250000,0.16,12/20/11,23000,0000741375,N-CSR,08
Goldman Sachs,Buy,50000,3.33,3/20/13,@ 000,0000741375,N-CSR,08
Goldman Sachs,Buy,65000,1.08,3/20/18,nan000,0000741375,N-CSR,08
Goldman Sachs,Buy,30000,1.24,3/20/18,nan000,0000741375,N-CSR,08
Goldman Sachs,Buy,100000,1.05,3/20/13,nan000,0000741375,N-CSR,08
Goldman Sachs,Buy,370000,0.1,3/20/12,nan000,0000741375,N-CSR,08
Goldman Sachs,Buy,350000,0.12,12/20/11,15000,0000741375,N-CSR,08
JPMorgan Chase,Sell,380000,0.6,12/20/12,(1000,0000741375,N-CSR,08
JPMorgan Chase,Buy,35000,0.6,3/20/13,@ 000,0000741375,N-CSR,08
JPMorgan Chase,Buy,55000,1.07,3/20/18,nan000,0000741375,N-CSR,08
JPMorgan Chase,Buy,55000,1.15,3/20/18,nan000,0000741375,N-CSR,08
JPMorgan Chase,Buy,45000,0.58,3/20/13,(@ 000,0000741375,N-CSR,08
JPMorgan Chase,Buy,65000,0.63,3/20/13,(@ 000,0000741375,N-CSR,08
