Swap Counterparty and Reference Obligation,"Buy/Sell
  Protection","Notional
  Amount
  (000)","Pay/Receive
  Fixed Rate","Termination
  Date",CIK,Reporting Type,Report Year
JPMorgan Chase,Buy,55000,4.95,3/20/13,0000741375,N-CSR,08
Lehman Brothers,Sell,185000,0.6,12/20/12,0000741375,N-CSR,08
Lehman Brothers,Sell,85000,0.6,12/20/12,0000741375,N-CSR,08
Lehman Brothers,Buy,1450000,0.75,12/20/11,0000741375,N-CSR,08
Lehman Brothers,Buy,65000,0.45,3/20/18,0000741375,N-CSR,08
Lehman Brothers,Buy,45000,0.46,3/20/18,0000741375,N-CSR,08
Lehman Brothers,Buy,175000,0.2,12/20/11,0000741375,N-CSR,08
Merrill Lynch,Buy,75000,1.5,3/20/18,0000741375,N-CSR,08
Merrill Lynch,Buy,45000,1.57,3/20/18,0000741375,N-CSR,08
Merrill Lynch,Buy,30000,1.6,3/20/18,0000741375,N-CSR,08
Merrill Lynch,Buy,80000,0.92,3/20/18,0000741375,N-CSR,08
Merrill Lynch,Buy,55000,5.0,3/20/13,0000741375,N-CSR,08
UBS,Buy,100000,0.5,3/20/13,0000741375,N-CSR,08
UBS,Buy,105000,0.6,3/20/18,0000741375,N-CSR,08
UBS,Buy,85000,1.78,3/20/13,0000741375,N-CSR,08
UBS,Buy,85000,1.73,3/20/18,0000741375,N-CSR,08
UBS,Buy,40000,1.0,3/20/13,0000741375,N-CSR,08
UBS,Buy,40000,1.01,3/20/13,0000741375,N-CSR,08
UBS,Buy,95000,1.06,3/20/13,0000741375,N-CSR,08
