Notional Amount,Expiration Date,Counterparty,Receive(Pay),Annual Premium,Deliverable On Default,Appreciation(Depreciation),CIK,Reporting Type,Report Year
5000000,12/20/2009,Barclays Bank PLC,Receive,0.30%,Boeing Capital Corp.,49592,0000772129,N-CSRS,05
5000000,12/20/2009,Deutsche Bank AG,Receive,0.21%,"CitiGroup, Inc.",23900,0000772129,N-CSRS,05
5000000,12/20/2009,Barclays Bank PLC,Receive,0.82%,"Clear Channel Communications, Inc.",21742,0000772129,N-CSRS,05
5000000,12/20/2009,Deutsche Bank AG,Receive,0.66%,Daimler-Chrysler AG,15297,0000772129,N-CSRS,05
5000000,12/20/2009,Deutsche Bank AG,Receive,0.35%,The Kroger Co.,2515,0000772129,N-CSRS,05
5000000,12/20/2009,Barclays Bank PLC,Receive,0.26%,Morgan Stanley,15427,0000772129,N-CSRS,05
5000000,12/20/2009,Barclays Bank PLC,Receive,0.39%,"SBC Communications, Inc.",38412,0000772129,N-CSRS,05
5000000,12/20/2009,Barclays Bank PLC,Receive,0.38%,Weyerhaueser Company,21501,0000772129,N-CSRS,05
5000000,6/20/2010,UBS AG,Receive,0.36%,The Bear Stearns Companies,17998,0000772129,N-CSRS,05
5000000,6/20/2010,Barclays Bank PLC,Receive,0.30%,"Credit Suisse First Boston (USA), Inc.",3245,0000772129,N-CSRS,05
5000000,6/20/2010,UBS AG,Receive,0.34%,"The Goldman Sachs Group, Inc.",21103,0000772129,N-CSRS,05
5000000,6/20/2010,Barclays Bank PLC,Receive,0.31%,HSBC Finance Corporation,34972,0000772129,N-CSRS,05
5000000,6/20/2010,UBS AG,Receive,0.29%,JP Morgan Chase & Co.,30152,0000772129,N-CSRS,05
5000000,6/20/2010,Barclays Bank PLC,Receive,0.31%,"Lehman Brothers Holdings, Inc.",1747,0000772129,N-CSRS,05
5000000,6/20/2010,Barclays Bank PLC,Receive,0.29%,"Merrill Lynch & Co., Inc.",21216,0000772129,N-CSRS,05
5000000,6/20/2010,Barclays Bank PLC,Receive,0.27%,"Merrill Lynch & Co., Inc.",26539,0000772129,N-CSRS,05
5000000,6/20/2010,Lehman Brothers,Receive,0.40%,PSEG Power LLC,5051,0000772129,N-CSRS,05
5000000,6/20/2010,Lehman Brothers,Receive,0.20%,Royal Bank of Scotland PLC,1997,0000772129,N-CSRS,05
5000000,6/20/2010,UBS AG,Receive,0.52%,TXU Electric Delivery Company,"(31,876",0000772129,N-CSRS,05
5000000,6/20/2010,Barclays Bank PLC,Receive,0.17%,Wachovia Corporation,19193,0000772129,N-CSRS,05
15500000,3/20/2015,JP Morgan,Receive,0.70%,Reference security within CDX Index,"(24,723",0000772129,N-CSRS,05
25000000,3/20/2015,JP Morgan,Receive,0.70%,Reference security within CDX Index,"(39,876",0000772129,N-CSRS,05
10000000,3/20/2015,JP Morgan,Receive,0.70%,Reference security within CDX Index,"(15,950",0000772129,N-CSRS,05
25000000,6/20/2015,JP Morgan,Receive,0.65%,Reference security within CDX Index,"(144,013",0000772129,N-CSRS,05
5000000,6/20/2015,Lehman Brothers,Receive,0.65%,Reference security within CDX Index,"(28,803",0000772129,N-CSRS,05
25000000,6/20/2015,Lehman Brothers,Receive,0.65%,Reference security within CDX Index,"(144,013",0000772129,N-CSRS,05
