"
NotionalAmount","
ExpirationDate","
Counterparty","
Receive(Pay)","
AnnualPremium","
DeliverableOn Default","
Appreciation(Depreciation)",CIK,Reporting Type,Report Year
"
5,000,000 ","
9/27/2006","
Merrill Lynch","
Receive",5.7,"
Dominican Republic","
141,406",0000772129,N-CSRS,06
"
25,000,000 ","
10/19/2006","
Deutsche Bank AG","
(Pay)",2.1,"
Government of Ukraine","
(239,516",0000772129,N-CSRS,06
"
15,000,000 ","
11/20/2006","
Deutsche Bank AG","
(Pay)",4.55,"
Republic of Brazil","
(333,789",0000772129,N-CSRS,06
"
10,000,000 ","
11/20/2006","
Deutsche Bank AG","
(Pay)",4.4,"
Republic of Brazil","
(215,035",0000772129,N-CSRS,06
"
30,000,000 ","
12/7/2006","
Deutsche Bank AG","
(Pay)",1.6,"
Gazprom Loan Facility","
(212,800",0000772129,N-CSRS,06
"
8,000,000 ","
12/20/2006 ","
JP MorganChase Bank","
Receive",3.0,"
Kingdom of Swaziland","
61,101",0000772129,N-CSRS,06
"
5,000,000 ","
12/20/2006","
JP MorganChase Bank","
Receive",3.0,"
Kingdom of Swaziland","
38,188",0000772129,N-CSRS,06
"
20,000,000 ","
12/20/2006","
JP MorganChase Bank","
(Pay)",4.75,"
Republic of Brazil","
(461,975",0000772129,N-CSRS,06
"
40,000,000 ","
1/20/2007","
JP MorganChase Bank","
(Pay)",0.45,"
Republic of Turkey","
(18,942",0000772129,N-CSRS,06
"
10,000,000 ","
2/18/2007","
JP MorganChase Bank","
(Pay)",4.6,"
Russia Federation","
(216,692",0000772129,N-CSRS,06
"
15,000,000 ","
2/20/2007","
Deutsche Bank AG","
(Pay)",1.5,"
Republic of Ecuador","
(43,874",0000772129,N-CSRS,06
"
30,000,000 ","
2/20/2007","
Deutsche Bank AG","
(Pay)",1.5,"
Republic of Ecuador","
(87,747",0000772129,N-CSRS,06
"
10,000,000 ","
2/20/2007","
JP MorgankChase Bank","
(Pay)",1.25,"
Republic of Ecuador","
(16,899",0000772129,N-CSRS,06
"
10,000,000 ","
2/26/2007","
Citigroup","
(Pay)",2.15,"
Republic ofSouth Africa","
(98,579",0000772129,N-CSRS,06
"
5,000,000 ","
3/20/2007","
JP MorganChase Bank","
(Pay)",0.33,"
Banco Bilbao VizcayaArgentaria SA","
(30,108",0000772129,N-CSRS,06
"
3,000,000 ","
7/2/2007","
Deutsche Bank AG","
(Pay)",0.64,"
Bank of China Bondsor Loans","
(16,451",0000772129,N-CSRS,06
"
10,000,000 ","
7/2/2007","
Citigroup","
(Pay)",0.64,"
Bank of China Bondsor Loans","
(54,414",0000772129,N-CSRS,06
"
15,000,000 ","
8/20/2007","
Morgan Stanley","
(Pay)",0.87,"
Government of Ukraine","
(18,758",0000772129,N-CSRS,06
"
15,000,000 ","
9/27/2007","
JP MorganChase Bank","
(Pay)",0.33,"
HSBC Bank Plc","
(73,605",0000772129,N-CSRS,06
"
10,000,000 ","
10/10/2007","
JP MorganChase Bank","
(Pay)",15.0,"
Republic of Venezuela","
(1,740,388",0000772129,N-CSRS,06
