"
NotionalAmount","
ExpirationDate","
Counterparty","
Receive(Pay)","
Annual Premium","
Deliverable On Default","
Appreciation(Depreciation)",CIK,Reporting Type,Report Year
"
10,000,000 ","
12/24/2013","
JP MorganChase Bank","
Receive",3.8,"
Republic of Turkey","
848,299",0000772129,N-CSRS,06
"
10,000,000 ","
1/20/2014","
Deutsche Bank AG","
Receive",4.28,"
Republic of Brazil","
1,568,173",0000772129,N-CSRS,06
"
10,000,000 ","
1/20/2014","
Citigroup","
Receive",4.94,"
Republic of Colombia","
1,922,141",0000772129,N-CSRS,06
"
10,000,000 ","
1/20/2014","
Deutsche Bank AG","
Receive",1.77,"
United Mexican States","
701,944",0000772129,N-CSRS,06
"
15,000,000 ","
3/20/2014","
JP MorganChase Bank","
Receive",4.3,"
Republic of Brazil","
2,605,167",0000772129,N-CSRS,06
"
5,000,000 ","
3/20/2014","
JP MorganChase Bank","
Receive",4.32,"
Republic of Brazil","
874,773",0000772129,N-CSRS,06
"
5,000,000 ","
3/20/2014","
JP MorganChase Bank","
Receive",4.9,"
Republic of Colombia","
1,039,949",0000772129,N-CSRS,06
"
20,000,000 ","
4/20/2014","
Goldman Sachs","
Receive",1.59,"
United Mexican States","
1,269,320",0000772129,N-CSRS,06
"
20,000,000 ","
4/20/2014","
Lehman Brothers","
Receive",1.58,"
United Mexican States","
1,256,217",0000772129,N-CSRS,06
"
10,000,000 ","
5/14/2014","
Deutsche Bank AG","
Receive",6.64,"
Republic of Turkey","
2,633,111",0000772129,N-CSRS,06
"
5,000,000 ","
5/19/2014","
Deutsche Bank AG","
Receive",6.42,"
Republic of Turkey","
1,246,170",0000772129,N-CSRS,06
"
7,000,000 ","
5/20/2014","
JP MorganChase Bank","
Receive",6.25,"
Republic of Turkey","
1,668,133",0000772129,N-CSRS,06
"
5,000,000 ","
5/20/2014","
Deutsche Bank AG","
Receive",2.03,"
United Mexican States","
454,053",0000772129,N-CSRS,06
"
10,000,000 ","
5/20/2014","
JP MorganChase Bank","
Receive",2.1,"
United Mexican States","
953,704",0000772129,N-CSRS,06
"
10,000,000 ","
5/20/2014","
JP MorganChase Bank","
Receive",2.1,"
United Mexican States","
953,704",0000772129,N-CSRS,06
"
10,000,000 ","
5/20/2014","
UBS AG","
Receive",2.1,"
United Mexican States","
953,704",0000772129,N-CSRS,06
"
15,000,000 ","
6/7/2014","
Deutsche Bank AG","
Receive",3.1,"
Gazprom Loan Facility","
1,890,160",0000772129,N-CSRS,06
"
10,000,000 ","
6/16/2014","
Deutsche Bank AG","
Receive",6.22,"
Republic of Turkey","
2,329,450",0000772129,N-CSRS,06
"
10,000,000 ","
6/20/2014","
JP MorganChase Bank","
Receive",2.1,"
United Mexican States","
940,495",0000772129,N-CSRS,06
"
10,000,000 ","
6/20/2014","
JP MorganChase Bank","
Receive",2.1,"
United Mexican States","
940,495",0000772129,N-CSRS,06
"
10,000,000 ","
6/20/2014","
JP MorganChase Bank","
Receive",2.15,"
United Mexican States","
972,925",0000772129,N-CSRS,06
"
10,000,000 ","
7/20/2014","
JP MorganChase Bank","
Receive",2.0,"
United Mexican States","
862,088",0000772129,N-CSRS,06
