"
Notional Amount","
Expiration Date","
Counterparty","
Receive(Pay)","
Annual Premium","
Deliverable On Default","
MarketValue",CIK,Reporting Type,Report Year
"
500,000,000","
11/20/2008","
JP Morgan","
Receive",0.75,"
Red Square CDO","
",0000772129,N-CSRS,07
"
9,000,000","
11/20/2008","
DeutscheBank AG","
Receive",4.77,"
Republic of Colombia","
561,256",0000772129,N-CSRS,07
"
14,000,000","
12/20/2008Bank AG","
Deutsche ","
(Pay)",0.79,"
Korean Deposit Insurance Corporation","
(134,602",0000772129,N-CSRS,07
"
5,000,000","
3/20/2009","
JP Morgan Chase Bank","
Receive",2.85,"
Republic of Peru","
245,698",0000772129,N-CSRS,07
"
10,000,000","
3/20/2009","
JP Morgan Chase Bank","
Receive",4.3,"
Republic of Philippines","
592,839",0000772129,N-CSRS,07
"
20,000,000","
4/20/2009","
JP Morgan Chase Bank","
(Pay)",0.43,"
Republic of Brazil","
7,686",0000772129,N-CSRS,07
"
9,531,789","
6/6/2009","
Deutsche Bank AG","
Receive",1.85,"
Deutsche Bank Loan to Ukrnafta","
54,108",0000772129,N-CSRS,07
"
815,999,515","
6/30/2009","
Deutsche Bank AG","
Receive",2.5,"
Deutsche Bank Loan to CAT Telecom Public Company Limited","
227,341",0000772129,N-CSRS,07
"
7,000,000","
8/5/2009","
Deutsche Bank AG","
Receive",4.85,"
Government of Ukraine","
484,208",0000772129,N-CSRS,07
"
100,000,000","
9/20/2009","
Morgan Stanley","
(Pay)",0.78,"
Government of Ukraine","
423,936",0000772129,N-CSRS,07
"
849,572,575","
11/5/2009","
Deutsche Bank AG","
Receive",1.45,"
Russia Post Office","
(127,176",0000772129,N-CSRS,07
"
10,000,000","
11/20/2009","
JP Morgan Chase Bank","
(Pay)",0.9,"
United Mexican States","
(139,062",0000772129,N-CSRS,07
"
10,000,000","
11/20/2009","
JP Morgan Chase Bank","
(Pay)",0.88,"
United Mexican States","
(134,299",0000772129,N-CSRS,07
"
25,000,000","
12/29/2009","
Deutsche Bank AG","
Receive",2.25,"
Videocon Loan Facility","
211,821",0000772129,N-CSRS,07
"
7,000,000","
2/5/2010","
Deutsche Bank AG","
Receive",4.85,"
Government of Ukraine","
559,971",0000772129,N-CSRS,07
"
12,000,000","
3/5/2010","
Deutsche Bank AG","
Receive",9.1,"
Republic of Turkey","
2,761,159",0000772129,N-CSRS,07
"
18,000,000","
3/20/2010","
Morgan Stanley","
Receive",0.75,"
United Mexican States","
211,607",0000772129,N-CSRS,07
