"
Notional Amount","
Expiration Date","
Counterparty","
Receive(Pay)","
Annual Premium","
Deliverable On Default","
MarketValue",Unnamed: 7,CIK,Reporting Type,Report Year
"
7,000,000","
2/7/2011","
Deutsche ","
Receive","
4.95","
Government ","
",,0000772129,N-CSRS,07
"
5,000,000","
2/20/2011","
Morgan Stanley","
(Pay)","
2.80","
Republic of Argentina","
195,754",,0000772129,N-CSRS,07
"
3,000,000","
2/25/2011","
Deutsche Bank AG","
Receive","
3.50","
Deutsche Bank Loan to Ukrtelekom","
27,100",,0000772129,N-CSRS,07
"
8,000,000","
3/20/2011","
Citigroup","
(Pay)","
3.70","
Republic of Iraq","
571,556",,0000772129,N-CSRS,07
"
8,000,000","
3/20/2011","
UBS AG","
(Pay)","
3.55","
Republic of Iraq","
504,845",,0000772129,N-CSRS,07
"
5,000,000","
4/26/2011","
Deutsche Bank AG","
Receive","
4.66","
Government of Ukraine","
532,050",,0000772129,N-CSRS,07
"
10,000,000","
6/20/2011","
Deutsche Bank AG","
(Pay)","
1.89","
Islamic Republic of Pakistan","
685,674",,0000772129,N-CSRS,07
"
34,000,000","
6/20/2011","
Deutsche Bank AG","
(Pay)","
1.35","
Reference security within CDX index","
(40,800",,0000772129,N-CSRS,07
"
11,000,000","
6/20/2011","
JP Morgan Chase Bank","
(Pay)","
1.35","
Reference security within CDX Index","
(13,200",,0000772129,N-CSRS,07
"
5,000,000","
6/20/2011","
Lehman Brothers","
Receive","
1.35","
Reference security within CDX index","
6,000",,0000772129,N-CSRS,07
"
20,000,000","
6/20/2011","
Lehman Brothers","
(Pay)","
1.35","
Reference security within CDX index","
(24,000",,0000772129,N-CSRS,07
"
10,000,000","
6/20/2011","
Lehman Brothers","
(Pay)","
1.35","
Reference security within CDX index","
(12,000",,0000772129,N-CSRS,07
"
11,000,000","
6/20/2011","
Lehman Brothers","
(Pay)","
1.35","
Reference security within CDX Index","
(13,200",,0000772129,N-CSRS,07
"
150,000,000","
6/20/2011","
Deutsche Bank AG","
Receive","
1.86","
Republic of Brazil","
5,699,830",,0000772129,N-CSRS,07
"
9,000,000","
7/17/2011","
UBS AG","
Receive","
5.05","
Government of Ukraine","
1,008,209",,0000772129,N-CSRS,07
"
5,000,000","
7/25/2011","
Deutsche Bank AG","
Receive","
4.68","
Government of Ukraine","
490,779",,0000772129,N-CSRS,07
"
7,000,000","
8/5/2011","
Deutsche Bank AG","
Receive","
5.00","
Government of Ukraine","
757,324",,0000772129,N-CSRS,07
"
20,000,000","
8/20/2011","
Deutsche Bank AG","
(Pay)","
0.57","
United Mexican States","
(42,283",,0000772129,N-CSRS,07
"
620,000,000","
MXN ","
8/20/2011","
Deutsche Bank AG","
Receive","
0.40","
United Mexican States","
34,316",0000772129,N-CSRS,07
