"
Notional Amount","
Expiration Date","
Counterparty","
Receive(Pay)","
FixedRate","
Variable Rate","
MarketValue",CIK,Reporting Type,Report Year
"
7,000,000","
8/5/2010","
Deutsche Bank AG","
Receive",4.9,"
Government of Ukraine","
209,611",0000772129,N-CSRS,08
"
3,000,000","
8/25/2010","
Deutsche Bank AG","
Receive",3.4,"
Deutsche Bank Loan to Ukrtelekom","
(120,520",0000772129,N-CSRS,08
"
50,000,000","
9/20/2010","
JP Morgan Chase Bank","
(Pay)",0.97,"
Gazprom OAO","
721,495",0000772129,N-CSRS,08
"
35,000,000","
9/20/2010","
JP Morgan Chase Bank","
(Pay)",0.7,"
Republic of Philippines","
487,725",0000772129,N-CSRS,08
"
20,000,000","
10/18/2010","
JP Morgan Chase Bank","
Receive",2.0,"
VTB Leasing","
(711,177",0000772129,N-CSRS,08
"
5,000,000","
10/25/2010","
Deutsche Bank AG","
Receive",4.6,"
Government of Ukraine","
184,098",0000772129,N-CSRS,08
"
10,000,000","
12/20/2010","
JP Morgan Chase Bank","
(Pay)",3.57,"
Republic of Argentina","
719,255",0000772129,N-CSRS,08
"
5,000,000","
12/20/2010","
JP Morgan Chase Bank","
(Pay)",3.43,"
Republic of Argentina","
375,057",0000772129,N-CSRS,08
"
5,000,000","
1/25/2011","
Deutsche Bank AG","
Receive",4.63,"
Government of Ukraine","
124,410",0000772129,N-CSRS,08
"
7,000,000","
2/7/2011","
Deutsche Bank AG","
Receive",4.95,"
Government of Ukraine","
213,162",0000772129,N-CSRS,08
"
5,000,000","
2/20/2011","
Morgan Stanley","
(Pay)",2.8,"
Republic of Argentina","
502,042",0000772129,N-CSRS,08
"
3,000,000","
2/25/2011","
Deutsche Bank AG","
Receive",3.5,"
Deutsche Bank Loan to Ukrtelekom","
(161,075",0000772129,N-CSRS,08
"
8,000,000","
3/20/2011","
Citigroup","
(Pay)",3.7,"
Republic of Iraq","
160,546",0000772129,N-CSRS,08
"
8,000,000","
3/20/2011","
UBS AG","
(Pay)",3.55,"
Republic of Iraq","
49,159",0000772129,N-CSRS,08
"
5,000,000","
4/26/2011","
Deutsche Bank AG","
Receive",4.66,"
Government of Ukraine","
179,646",0000772129,N-CSRS,08
"
10,000,000","
6/20/2011","
Deutsche Bank AG","
(Pay)",1.89,"
Islamic Republic of Pakistan","
1,594,466",0000772129,N-CSRS,08
"
34,000,000","
6/20/2011","
Deutsche Bank AG","
(Pay)",1.35,"
Reference security within CDX index","
577,150",0000772129,N-CSRS,08
"
11,000,000","
6/20/2011","
JP Morgan Chase Bank","
(Pay)",1.35,"
Reference security within CDX Index","
186,725",0000772129,N-CSRS,08
"
5,000,000","
6/20/2011","
Lehman Brothers","
Receive",1.35,"
Reference security within CDX index","
(84,875",0000772129,N-CSRS,08
