Amount,Date,Counterparty,Receive (Pay),Premium,On Default,(Depreciation),CIK,Reporting Type,Report Year
5000000,4/2/2007,Lehman Brothers,Receive,0.52%,"General
  Electric Capital Corporation",36289,0000772129,N-CSR,05
3000000,4/17/2007,UBS AG,Receive,0.80%,"EOP
  Operating LP",37589,0000772129,N-CSR,05
3000000,4/17/2007,UBS AG,Receive,0.47%,"Goldman
  Sachs Group, Inc.",22944,0000772129,N-CSR,05
3000000,4/17/2007,Bear Stearns,Receive,1.28%,"National
  Rural Utilities Cooperative Finance Corp.",68597,0000772129,N-CSR,05
10000000,12/16/2007,Citibank N.A.,Receive,2.41%,"AOL
  Time Warner Inc.",621041,0000772129,N-CSR,05
5000000,6/20/2008,Lehman Brothers,Receive,0.50%,"Dominion
  Resources, Inc.",54892,0000772129,N-CSR,05
5000000,6/20/2008,Deutsche Bank AG,Receive,0.48%,"Household
  Finance Corporation",63149,0000772129,N-CSR,05
5000000,6/20/2008,Deutsche Bank AG,Receive,0.65%,"Kraft
  Foods Inc.",89008,0000772129,N-CSR,05
5000000,6/20/2008,Deutsche Bank AG,Receive,0.40%,"Norfolk
  Southern Corporation",38952,0000772129,N-CSR,05
5000000,6/20/2008,Deutsche Bank AG,Receive,0.40%,"Washington
  Mutual Inc.",32652,0000772129,N-CSR,05
10000000,9/20/2008,Deutsche Bank AG,Receive,0.32%,"American
  International Group Inc.",73038,0000772129,N-CSR,05
10000000,12/20/2008,Lehman Brothers,Receive,0.27%,"Federal
  Home Loan Bank System",60347,0000772129,N-CSR,05
5000000,5/20/2009,JP Morgan,Receive,1.13%,"United
  Mexican States",110570,0000772129,N-CSR,05
5000000,6/20/2009,Citibank N.A.,Receive,0.25%,"ConocoPhillips
  Company",26260,0000772129,N-CSR,05
5000000,6/20/2009,Lehman Brothers,Receive,1.81%,"Ford
  Motor Credit Co.",45825,0000772129,N-CSR,05
5000000,6/20/2009,Lehman Brothers,Receive,1.73%,"General
  Motors Corp.","(149,821",0000772129,N-CSR,05
5000000,6/20/2009,Barclays Bank PLC,Receive,0.91%,"Sprint
  Capital Corp.",144426,0000772129,N-CSR,05
5000000,6/20/2009,Lehman Brothers,Receive,0.67%,"Wyeth
  Energy",110715,0000772129,N-CSR,05
5000000,9/20/2009,UBS AG,Receive,0.59%,"Capital
  One Bank",52318,0000772129,N-CSR,05
5000000,9/20/2009,Citibank N.A.,Receive,0.30%,"Coca-Cola
  Enterprises Inc.",38420,0000772129,N-CSR,05
5000000,9/20/2009,Citibank N.A.,Receive,0.69%,"Comcast
  Cable Communications Inc.",92914,0000772129,N-CSR,05
5000000,9/20/2009,UBS AG,Receive,0.62%,"Devon
  Energy Corp.",89288,0000772129,N-CSR,05
5000000,9/20/2009,Barclays Bank PLC,Receive,0.54%,"Duke
  Energy Corp.",81352,0000772129,N-CSR,05
5000000,9/20/2009,Citibank N.A.,Receive,0.25%,"International
  Business Machines",32741,0000772129,N-CSR,05
5000000,9/20/2009,UBS AG,Receive,0.53%,"Kinder
  Morgan Energy Partners L.P.",58122,0000772129,N-CSR,05
5000000,12/20/2009,Deutsche Bank AG,Receive,0.25%,"AT&T
  Wireless Services Inc.",(860,0000772129,N-CSR,05
5000000,12/20/2009,Deutsche Bank AG,Receive,0.21%,"Bank
  of America Corp.",30565,0000772129,N-CSR,05
5000000,12/20/2009,Barclays Bank PLC,Receive,0.30%,"Boeing
  Capital Corp.",31339,0000772129,N-CSR,05
