"
NotionalAmount","
ExpirationDate","
Counterparty","
Receive (Pay)","
AnnualPremium","
DeliverableOn Default","
MarketValue",CIK,Reporting Type,Report Year
"
2,000,000","
6/20/2011","
UBS AG","
Receive",0.32,"
Boston Properties",,0000772129,N-CSR,07
"
3,000,000","
6/20/2011","
Bank of America, N.A.","
Receive",0.14,"
Credit Suisse FirstBoston (USA), Inc.","
(19,990",0000772129,N-CSR,07
"
5,000,000","
6/20/2011","
Citigroup","
Receive",0.37,"
Deutsche TelekomInternational Finance B.V.","
12,075",0000772129,N-CSR,07
"
2,000,000","
6/20/2011","
UBS AG","
Receive",0.26,"
ERP Operating LP","
(16,261",0000772129,N-CSR,07
"
4,000,000","
6/20/2011","
Barclays Bank PLC","
Receive",0.2,"
Morgan Stanley","
(67,702",0000772129,N-CSR,07
"
2,000,000","
6/20/2011","
Barclays Bank PLC","
Receive",0.3,"
Prologis","
(20,174",0000772129,N-CSR,07
"
5,000,000","
6/20/2011","
Citigroup","
Receive",0.49,"
Telecom ItaliaSpA","
14,701",0000772129,N-CSR,07
"
3,000,000","
6/20/2011","
Barclays Bank PLC","
Receive",0.08,"
US Bancorp","
(26,859",0000772129,N-CSR,07
"
2,000,000","
12/20/2011","
Barclays Bank PLC","
Receive",0.04,"
UBS","
(17,005",0000772129,N-CSR,07
"
2,000,000","
12/20/2011","
Barclays Bank PLC","
Receive",0.11,"
Wachovia","
(17,424",0000772129,N-CSR,07
"
5,000,000","
3/20/2013","
Barclays Bank PLC","
Receive",0.25,"
Goldman SachsGroup, Inc.","
(116,511",0000772129,N-CSR,07
"
2,000,000","
12/20/2013","
UBS AG","
Receive",0.34,"
CIT","
(232,135",0000772129,N-CSR,07
"
3,000,000","
12/20/2013","
Lehman Brothers","
Receive",0.25,"
Mid America Energy","
(17,802",0000772129,N-CSR,07
"
2,000,000","
12/20/2013","
Barclays Bank PLC","
Receive",0.25,"
SLM Corp.","
(269,405",0000772129,N-CSR,07
"
9,920,000","
3/20/2015","
JP Morgan Chase Bank","
Receive",0.7,"
Reference securitywithin CDX Index","
62,179",0000772129,N-CSR,07
"
25,000,000","
6/20/2015","
JP Morgan Chase Bank","
Receive",0.65,"
Reference security within CDX Index","
(292,926",0000772129,N-CSR,07
"
5,000,000","
6/20/2015","
Lehman Brothers","
Receive",0.65,"
Reference securitywithin CDX Index","
(58,585",0000772129,N-CSR,07
"
1,000,000","
12/20/2016","
UBS AG","
Receive",0.15,"
Bank of America","
(20,162",0000772129,N-CSR,07
"
1,000,000","
12/20/2016","
UBS AG","
Receive",0.12,"
Citigroup","
(25,426",0000772129,N-CSR,07
"
1,000,000","
12/20/2016","
Bank of America, N.A.","
Receive",0.17,"
GECC","
(21,750",0000772129,N-CSR,07
"
1,000,000","
12/20/2016","
Bank of America, N.A.","
Receive",0.22,"
JP MorganChase Bank","
(19,236",0000772129,N-CSR,07
"
1,000,000","
12/20/2016","
Barclays Bank PLC","
Receive",0.33,"
Pacific Gas","
(11,825",0000772129,N-CSR,07
"
73,000,000","
12/20/2016","
JP Morgan Chase Bank","
Receive",0.65,"
Reference securitywithin CDX Index","
(1,090,267",0000772129,N-CSR,07
