"
NotionalAmount","
ExpirationDate","
Counterparty","
Receive(Pay)","
AnnualPremium","
DeliverableOn Default","
MarketValue",CIK,Reporting Type,Report Year
"
5,000,000","
6/20/2010","
UBS AG","
Receive","
0.52","
TXU Electric ",,0000772129,N-CSR,08
"
5,000,000","
6/20/2010","
Barclays Bank PLC","
Receive","
0.17","
Wachovia Corp.","
(240,803",0000772129,N-CSR,08
"
5,000,000","
12/20/2010","
Barclays Bank PLC","
Receive","
0.20","
Bank of America Corp.","
(137,461",0000772129,N-CSR,08
"
5,000,000","
12/20/2010","
Barclays Bank PLC","
Receive","
0.19","
Citigroup, Inc.","
(179,136",0000772129,N-CSR,08
"
5,000,000","
12/20/2010","
Deutsche Bank AG","
Receive","
0.75","
Enterprise Products Partners LP","
(20,192",0000772129,N-CSR,08
"
5,000,000","
12/20/2010","
Citigroup","
Receive","
0.39","
Exelon Generation Co. LLC","
(73,122",0000772129,N-CSR,08
"
5,000,000","
12/20/2010","
Barclays Bank PLC","
Receive","
0.45","
First Energy Corp.","
(247",0000772129,N-CSR,08
"
5,000,000","
12/20/2010","
Barclays Bank PLC","
Receive","
0.28","
JP Morgan Chase Bank","
(116,219",0000772129,N-CSR,08
"
5,000,000","
12/20/2010","
UBS AG","
Receive","
0.47","
Progress Energy, Inc.","
26,287",0000772129,N-CSR,08
"
5,000,000","
3/20/2011","
Barclays Bank PLC","
Receive","
0.25","
Bell South","
8,955",0000772129,N-CSR,08
"
2,000,000","
6/20/2011","
UBS AG","
Receive","
0.32","
Boston PropertiesLimited Partnership","
(68,581",0000772129,N-CSR,08
"
3,000,000","
6/20/2011","
Bank of America, N.A.","
Receive","
0.14","
Credit Suisse FirstBoston (USA), Inc.","
(37,131",0000772129,N-CSR,08
"
5,000,000","
6/20/2011","
Citigroup","
Receive","
0.37","
Deutsche TelekomInternational Finance B.V.","
(53,487",0000772129,N-CSR,08
"
2,000,000","
6/20/2011","
UBS AG","
Receive","
0.26","
ERP Operating LP","
(81,007",0000772129,N-CSR,08
"
4,000,000","
6/20/2011","
Barclays Bank PLC","
Receive","
0.20","
Morgan Stanley","
(237,216",0000772129,N-CSR,08
"
2,000,000","
6/20/2011","
Barclays Bank PLC","
Receive","
0.30","
Prologis","
(132,116",0000772129,N-CSR,08
"
5,000,000","
6/20/2011","
Citigroup","
Receive","
0.49","
Telecom Italia SpA","
(80,592",0000772129,N-CSR,08
"
3,000,000","
6/20/2011","
Barclays Bank PLC","
Receive","
0.08","
US Bancorp","
(72,474",0000772129,N-CSR,08
"
2,000,000","
12/20/2011","
Barclays Bank PLC","
Receive","
0.04","
UBS AG","
(64,724",0000772129,N-CSR,08
"
2,000,000","
12/20/2011","
Barclays Bank PLC","
Receive","
0.11","
Wachovia","
(164,684",0000772129,N-CSR,08
"
5,000,000","
3/20/2013","
Barclays Bank PLC","
Receive","
0.25%","
Goldman Sachs Group, Inc.","
(256,710",0000772129,N-CSR,08
"
2,000,000","
12/20/2013","
UBS AG","
Receive","
0.34","
CIT","
(506,655",0000772129,N-CSR,08
"
3,000,000","
12/20/2013","
Lehman Brothers","
Receive","
0.25","
Mid America Energy","
(59,486",0000772129,N-CSR,08
"
2,000,000","
12/20/2013","
Barclays Bank PLC","
Receive","
0.25","
SLM Corp.","
(387,352",0000772129,N-CSR,08
