"
Counterparty","
ReferenceEntity","
ExpirationDate","
Pay FixedRate (%)","
NotionalAmount ($)","
MarketValue ($)","
UnamortizedPremium(Paid)Received ($)","
PeriodicPaymentsReceivable(Payable) ($)","
UnrealizedAppreciation ($)","
UnrealizedDepreciation ($)",CIK,Reporting Type,Report Year
"
JPMorgan    ","
CDX North America Investment Grade 20","
June 20, 2018","
1.000    ","
97,995,000    ","
(1,563,304    ","
759,393    ","
(114,328    ","
(918,239    ",,0000773757,N-CSR,14
"
Goldman Sachs International","
Citigroup, Inc.  ","
June 20, 2018","
1.000  ","
25,205,000  ","
(170,235  ","
(66,813  ","
(29,406  ","
(266,454  ",,0000773757,N-CSR,14
"
JPMorgan  ","
Citigroup, Inc.  ","
June 20, 2018","
1.000  ","
25,205,000  ","
(170,236  ","
(89,007  ","
(29,406  ","
(288,649  ",,0000773757,N-CSR,14
"
Barclays  ","
D.R. Horton, Inc.  ","
June 20, 2018","
1.000  ","
34,705,000  ","
1,265,930  ","
(954,714  ","
(40,489  ","
270,727  ",,0000773757,N-CSR,14
"
JPMorgan  ","
D.R. Horton, Inc.  ","
June 20, 2018","
1.000  ","
13,590,000  ","
495,721  ","
(448,739  ","
(15,855  ","
31,127  ",,0000773757,N-CSR,14
"
Barclays  ","
Goldman Sachs Group, Inc.","
June 20, 2018","
1.000  ","
14,915,000  ","
49,804  ","
(234,085  ","
(17,401  ","
(201,682  ",,0000773757,N-CSR,14
"
Morgan Stanley  ","
Goldman Sachs Group, Inc.","
June 20, 2018","
1.000  ","
14,425,000  ","
48,168  ","
(219,699  ","
(16,829  ","
(188,360  ",,0000773757,N-CSR,14
"
Barclays  ","
Home Depot, Inc.  ","
June 20, 2018","
1.000  ","
20,925,000  ","
(676,668  ","
610,105  ","
(24,413  ","
(90,976  ",,0000773757,N-CSR,14
"
Goldman Sachs International","
Home Depot, Inc.  ","
June 20, 2018","
1.000  ","
3,730,000  ","
(120,620  ","
105,065  ","
(4,352  ","
(19,907  ",,0000773757,N-CSR,14
"
JPMorgan  ","
Home Depot, Inc.  ","
June 20, 2018","
1.000  ","
17,710,000  ","
(572,702  ","
524,255  ","
(20,662  ","
(69,109  ",,0000773757,N-CSR,14
"
Barclays  ","
Limited Brands, Inc.  ","
June 20, 2018","
1.000  ","
23,085,000  ","
610,737  ","
(1,060,751  ","
(26,933  ","
(476,947  ",,0000773757,N-CSR,14
"
Barclays  ","
Marriott International, Inc.","
June 20, 2018","
1.000  ","
15,560,000  ","
(356,762  ","
259,272  ","
(18,153  ","
(115,643  ",,0000773757,N-CSR,14
"
Citibank  ","
Marriott International, Inc.","
June 20, 2018","
1.000  ","
5,145,000  ","
(117,965  ","
110,278  ","
(6,003  ","
(13,690  ",,0000773757,N-CSR,14
"
Goldman Sachs International","
Textron, Inc.  ","
June 20, 2018","
1.000  ","
22,810,000  ","
115,561  ","
(200,081  ","
(26,612  ","
(111,132  ",,0000773757,N-CSR,14
"
Barclays  ","
Toll Brothers, Inc.  ","
June 20, 2018","
1.000  ","
9,540,000  ","
218,048  ","
(286,574  ","
(11,130  ","
(79,656  ",,0000773757,N-CSR,14
"
Morgan Stanley  ","
Toll Brothers, Inc.  ","
June 20, 2018","
1.000  ","
56,095,000  ","
1,282,122  ","
(976,308  ","
(65,444  ","
240,370  ",,0000773757,N-CSR,14
"
JPMorgan  ","
Barclays Bank, PLC  ","
September 20, 2018","
1.000  ","
14,460,000  ","
34,708  ","
(321,466  ","
(16,870  ","
(303,628  ",,0000773757,N-CSR,14
"
Citibank  ","
H.J. Heinz Company  ","
September 20, 2018","
1.000  ","
15,255,000  ","
344,590  ","
(473,496  ","
(17,797  ","
(146,703  ",,0000773757,N-CSR,14
"
Goldman Sachs International","
Home Depot, Inc.  ","
September 20, 2018","
1.000  ","
25,730,000  ","
(852,226  ","
740,476  ","
(30,018  ","
(141,768  ",,0000773757,N-CSR,14
"
Barclays  ","
Morgan Stanley  ","
September 20, 2018","
1.000  ","
11,015,000  ","
43,343  ","
(407,301  ","
(12,851  ","
(376,809  ",,0000773757,N-CSR,14
"
Citibank  ","
Morgan Stanley  ","
September 20, 2018","
1.000  ","
16,525,000  ","
65,024  ","
(639,403  ","
(19,279  ","
(593,658  ",,0000773757,N-CSR,14
"
Citibank  ","
Nucor Corp.  ","
September 20, 2018","
1.000  ","
10,305,000  ","
(212,374  ","
71,944  ","
(12,023  ","
(152,453  ",,0000773757,N-CSR,14
"
Goldman Sachs International","
Nucor Corp.  ","
September 20, 2018","
1.000  ","
4,115,000  ","
(84,805  ","
34,486  ","
(4,801  ","
(55,120  ",,0000773757,N-CSR,14
"
Barclays  ","
Telecom Italia SPA  ","
September 20, 2018","
1.000  ","
4,600,000  ","
386,775  ","
(441,167  ","
(5,366  ","
(59,758  ",,0000773757,N-CSR,14
"
Morgan Stanley*    ","
CDX North America Investment Grade 21-V1","
December 20, 2018","
1.000    ","
36,970,000    ","
(208,406    ","
(43,132    ","
(251,538    ",,,0000773757,N-CSR,14
"
Morgan Stanley*    ","
CDX North America Investment Grade 21-V1","
December 20, 2018","
5.000    ","
37,305,000    ","
119,980    ","
(217,613    ","
(97,633    ",,,0000773757,N-CSR,14
