Underlying Instrument,Counterparty,Date,Credit Spread at 2013 (%) (b),    Amount,Rate($) (c),CIK,Reporting Type,Report Year
Republic of Korea,J.P.Morgan Chase Bank N.A.,6/20/18,0.54,5500000,1,0000798290,N-CSR,14
"Republic of
      Korea",J.P.Morgan Chase Bank N.A.,6/20/18,0.54,7000000,1,0000798290,N-CSR,14
Republic of Korea,J.P.Morgan Chase Bank N.A.,6/20/18,0.54,7000000,1,0000798290,N-CSR,14
"Republic of
      Korea",J.P.Morgan Chase Bank N.A.,6/20/18,0.54,6000000,1,0000798290,N-CSR,14
Emirate of Abu Dhabi,Barclays Bank PLC,6/20/18,0.57,4400000,1,0000798290,N-CSR,14
"Republic of
      Korea",International,6/20/18,0.54,6000000,1,0000798290,N-CSR,14
CDX.EM 20,J.P.Morgan Chase Bank N.A.,12/20/18,2.71,22000000,5,0000798290,N-CSR,14
"CDX.EM
    20",Barclays Bank PLC,12/20/18,2.71,17000000,5,0000798290,N-CSR,14
CDX.EM 20,International,12/20/18,2.71,4400000,5,0000798290,N-CSR,14
"CDX.EM
    20",International,12/20/18,2.71,11000000,5,0000798290,N-CSR,14
CDX.EM 20,International,12/20/18,2.71,4300000,5,0000798290,N-CSR,14
"CDX.EM
    20",International,12/20/18,2.71,4400000,5,0000798290,N-CSR,14
Republic of Korea,J.P.Morgan Chase Bank N.A.,9/20/17,0.39,100000,1,0000798290,N-CSR,14
"State of
      Qatar",Barclays Bank PLC,9/20/17,0.49,6250000,1,0000798290,N-CSR,14
       Philippines,J.P.Morgan Chase Bank N.A.,9/20/17,0.69,1700000,1,0000798290,N-CSR,14
"Republic of
      Korea",J.P.Morgan Chase Bank N.A.,9/20/17,0.42,5000000,1,0000798290,N-CSR,14
Republic of South Africa,Barclays Bank PLC,12/20/17,1.61,3500000,1,0000798290,N-CSR,14
"Republic of
      Turkey",J.P.Morgan Chase Bank N.A.,12/20/17,1.61,3500000,1,0000798290,N-CSR,14
