Underlying Instrument,Counterparty,Date,"Spread
      At October 31 2013 (%) (b)",Amount,Rate($) (c),CIK,Reporting Type,Report Year
   People’s Republic of China,J.P.Morgan Chase Bank N.A.,  6/20/18,0.71,5500000,1,0000798290,N-CSR,14
      Federative Republic of Brazil,Barclays Bank PLC," 
      6/20/18",1.62,2500000,1,0000798290,N-CSR,14
      Federative Republic of Brazil,J.P.Morgan Chase Bank N.A.,  6/20/18,1.56,2500000,1,0000798290,N-CSR,14
      Federative Republic of Brazil,International," 
      6/20/18",1.62,14000000,1,0000798290,N-CSR,14
   People’s Republic of China,J.P.Morgan Chase Bank N.A.,  6/20/18,0.71,6000000,1,0000798290,N-CSR,14
   People’s Republic of China,International," 
      6/20/18",0.71,6000000,1,0000798290,N-CSR,14
      Federative Republic of Brazil,International,  6/20/18,1.62,4500000,1,0000798290,N-CSR,14
Republic of Indonesia,International," 
      6/20/18",1.81,3800000,1,0000798290,N-CSR,14
"Republic of
      Indonesia",J.P.Morgan Chase Bank N.A.,  9/20/18,1.81,500000,1,0000798290,N-CSR,14
Republic of Indonesia,International," 
      9/20/18",1.9,1800000,1,0000798290,N-CSR,14
"Republic of South
      Africa",J.P.Morgan Chase Bank N.A.,  9/20/18,1.82,13000000,1,0000798290,N-CSR,14
      Federative Republic of Brazil,Barclays Bank PLC,12/20/18,1.74,3000000,1,0000798290,N-CSR,14
      Federative Republic of Brazil,"Chase Bank
      N.A.",12/20/18,1.74,10000000,1,0000798290,N-CSR,14
"Republic of
      Peru",J.P.Morgan Chase Bank N.A.,  6/20/17,1.23,100000,1,0000798290,N-CSR,14
"Republic of
      Turkey","Barclays Bank
      PLC",12/20/17,1.61,3500000,1,0000798290,N-CSR,14
"Republic of South
Africa",J.P.Morgan Chase Bank N.A.,12/20/17,1.61,3500000,1,0000798290,N-CSR,14
