Underlying Instrument,Counterparty,Date,Amount,Rate(%),CIK,Reporting Type,Report Year
"United Arab
      Emirates","Barclays Bank
      PLC",6/20/18,4400000,1,0000798290,N-CSR,15
Republic of Brazil,Barclays Bank PLC,6/20/20,43500000,1,0000798290,N-CSR,15
"Republic of
      Korea","Bank
    N.A.",9/20/17,100000,1,0000798290,N-CSR,15
Republic of Korea,Bank N.A.,9/20/17,5000000,1,0000798290,N-CSR,15
"Republic of
      Korea","Bank
    N.A.",6/20/18,5500000,1,0000798290,N-CSR,15
Republic of Korea,International,6/20/18,6000000,1,0000798290,N-CSR,15
"Republic of
      Korea","Bank
    N.A.",6/20/18,7000000,1,0000798290,N-CSR,15
Republic of Korea,Bank N.A.,6/20/18,7000000,1,0000798290,N-CSR,15
"Republic of
      Korea","Bank
    N.A.",6/20/18,6000000,1,0000798290,N-CSR,15
Republic of Korea,Barclays Bank PLC,12/20/18,5500000,1,0000798290,N-CSR,15
"Republic of
      Korea","Bank
    N.A.",12/20/18,10500000,1,0000798290,N-CSR,15
Republic of Korea,Barclays Bank PLC,12/20/18,5500000,1,0000798290,N-CSR,15
"Republic of
      Philippines","Bank
    N.A.",9/20/17,1700000,1,0000798290,N-CSR,15
State of Qatar,Barclays Bank PLC,9/20/17,6250000,1,0000798290,N-CSR,15
