Underlying Instrument,Counterparty,Expiration Date,Fixed Rate,Notional Amount,CIK,Reporting Type,Report Year
Emirate of Abu Dhabi,Barclays Bank PLC,6/20/18,0.48,4400000,0000798290,N-Q,14
"Republic of
      Korea","JPMorgan Chase Bank
      N.A.",9/20/17,0.47,5000000,0000798290,N-Q,14
Republic of Korea,JPMorgan Chase Bank N.A.,9/20/17,0.42,100000,0000798290,N-Q,14
"Republic of
      Korea","JPMorgan Chase Bank
      N.A.",6/20/18,0.6,6000000,0000798290,N-Q,14
Republic of Korea,Credit Suisse International,6/20/18,0.6,6000000,0000798290,N-Q,14
"Republic of
      Korea","JPMorgan Chase Bank
      N.A.",6/20/18,0.6,7000000,0000798290,N-Q,14
Republic of Korea,JPMorgan Chase Bank N.A.,6/20/18,0.6,5500000,0000798290,N-Q,14
"Republic of
      Korea","JPMorgan Chase Bank
      N.A.",6/20/18,0.6,7000000,0000798290,N-Q,14
Republic of Korea,Barclays Bank PLC,12/20/18,0.69,5500000,0000798290,N-Q,14
"Republic of
      Korea","JPMorgan Chase Bank
      N.A.",12/20/18,0.69,10500000,0000798290,N-Q,14
Republic of Korea,Barclays Bank PLC,12/20/18,0.69,5500000,0000798290,N-Q,14
"Republic of
      Philippines","JPMorgan Chase Bank
      N.A.",9/20/17,0.86,1700000,0000798290,N-Q,14
Republic of South Africa,Barclays Bank PLC,12/20/17,1.95,3500000,0000798290,N-Q,14
"Republic of
      Turkey","JPMorgan Chase Bank
      N.A.",12/20/17,2.39,3500000,0000798290,N-Q,14
Republic of Ukraine,"Bank
      Of America",3/20/19,10.93,2000000,0000798290,N-Q,14
"Republic of
      Ukraine","Barclays Bank
      PLC",3/20/19,10.93,1500000,0000798290,N-Q,14
Republic of Ukraine,"Bank
      Of America",3/20/19,10.93,4000000,0000798290,N-Q,14
"Republic of
      Ukraine","Bank Of
    America",3/20/19,10.93,1600000,0000798290,N-Q,14
Republic of Ukraine,"Bank
      Of America",3/20/19,10.93,9000000,0000798290,N-Q,14
"Republic of
      Ukraine","Bank Of
    America",3/20/19,10.93,3500000,0000798290,N-Q,14
"State
      of Qatar",Barclays Bank PLC,9/20/17,0.4,6250000,0000798290,N-Q,14
