"Underlying
Instrument",Counterparty,Expiration Date,Fixed       Rate,Notional Amount,CIK,Reporting Type,Report Year
Federative Republic of Brazil,"Credit
      Suisse International",6/20/18,1.91,4500000,0000798290,N-Q,14
"Federative Republic of
      Brazil","Credit
      Suisse International",6/20/18,1.91,14000000,0000798290,N-Q,14
Federative Republic of Brazil,"Barclays
      Bank PLC",6/20/18,1.91,2500000,0000798290,N-Q,14
"Federative Republic of
      Brazil","JPMorgan
      Chase Bank N.A.",6/20/18,1.86,2500000,0000798290,N-Q,14
Federative Republic of Brazil,"Barclays
      Bank PLC",3/20/19,2.02,3000000,0000798290,N-Q,14
"Federative Republic of
      Brazil","JPMorgan
      Chase Bank N.A.",3/20/19,2.02,10000000,0000798290,N-Q,14
"People's
      Republic of China","JPMorgan
      Chase Bank N.A.",6/20/18,0.81,5500000,0000798290,N-Q,14
"People's Republic of
      China","JPMorgan
      Chase Bank N.A.",6/20/18,0.81,6000000,0000798290,N-Q,14
"People's
      Republic of China","Credit
      Suisse International",6/20/18,0.81,6000000,0000798290,N-Q,14
"Republic of
      Indonesia","Credit
      Suisse International",6/20/18,2.11,3800000,0000798290,N-Q,14
"Republic
      of Indonesia","JPMorgan
      Chase Bank N.A.",9/20/18,2.11,500000,0000798290,N-Q,14
"Republic of
      Indonesia","Credit
      Suisse International",9/20/18,2.21,1800000,0000798290,N-Q,14
"Republic
      of Peru","JPMorgan
      Chase Bank N.A.",6/20/17,1.03,100000,0000798290,N-Q,14
"Republic of South
      Africa","JPMorgan
      Chase Bank N.A.",12/20/17,1.95,3500000,0000798290,N-Q,14
"Republic
      of South Africa","JPMorgan
      Chase Bank N.A.",9/20/18,2.16,13000000,0000798290,N-Q,14
"Republic of
    Turkey","Barclays
      Bank PLC",12/20/17,2.39,3500000,0000798290,N-Q,14
