Underlying Instrument,Counterparty,Expiration Date,Fixed Rate,Notional Amount ,CIK,Reporting Type,Report Year
"Emirate of Abu Dhabi United
             Arab Emirates",Barclays Bank PLC,6/20/18,0.32,4400000,0000798290,N-Q,15
"Republic of
      Korea",JPMorgan Chase Bank N.A.,9/20/17,0.21,100000,0000798290,N-Q,15
Republic of Korea,JPMorgan Chase Bank N.A.,9/20/17,0.23,5000000,0000798290,N-Q,15
"Republic of
      Korea",JPMorgan Chase Bank N.A.,6/20/18,0.3,6000000,0000798290,N-Q,15
Republic of Korea,Credit Suisse International,6/20/18,0.3,6000000,0000798290,N-Q,15
"Republic of
      Korea",JPMorgan Chase Bank N.A.,6/20/18,0.3,7000000,0000798290,N-Q,15
Republic of Korea,JPMorgan Chase Bank N.A.,6/20/18,0.3,7000000,0000798290,N-Q,15
"Republic of
      Korea",JPMorgan Chase Bank N.A.,6/20/18,0.3,5500000,0000798290,N-Q,15
Republic of Korea,Barclays Bank PLC,12/20/18,0.35,5500000,0000798290,N-Q,15
"Republic of
      Korea",JPMorgan Chase Bank N.A.,12/20/18,0.35,10500000,0000798290,N-Q,15
Republic of Korea,Barclays Bank PLC,12/20/18,0.35,5500000,0000798290,N-Q,15
"Republic of
      Philippines",JPMorgan Chase Bank N.A.,9/20/17,0.45,1700000,0000798290,N-Q,15
Republic of Turkey,Barclays Bank PLC,6/20/20,3.2,43500000,0000798290,N-Q,15
"State of
    Qatar",Barclays Bank PLC,9/20/17,0.25,6250000,0000798290,N-Q,15
