"Underlying
      Instrument",Counterparty,Expiration Date,Fixed Rate,Notional Amount,CIK,Reporting Type,Report Year
"       United Arab
      Emirates",PLC,6/20/18,0.84,4400000,0000798290,N-Q,16
Federative Republic of Brazil,PLC,6/20/20,3.62,42630000,0000798290,N-Q,16
Republic of Korea,Bank N.A.,6/20/18,0.3,7000000,0000798290,N-Q,16
Republic of Korea,Bank N.A.,9/20/17,0.23,5000000,0000798290,N-Q,16
Republic of Korea,Bank N.A.,9/20/17,0.21,100000,0000798290,N-Q,16
Republic of Korea,Bank N.A.,6/20/18,0.3,5500000,0000798290,N-Q,16
Republic of Korea,International,6/20/18,0.3,6000000,0000798290,N-Q,16
Republic of Korea,Bank N.A.,6/20/18,0.3,7000000,0000798290,N-Q,16
Republic of Korea,Bank N.A.,6/20/18,0.3,6000000,0000798290,N-Q,16
Republic of Korea,PLC,12/20/18,0.35,5500000,0000798290,N-Q,16
Republic of Korea,PLC,12/20/18,0.35,5500000,0000798290,N-Q,16
Republic of Philippines,Bank N.A.,9/20/17,0.58,1700000,0000798290,N-Q,16
State of Qatar,PLC,9/20/17,0.74,6250000,0000798290,N-Q,16
