Swap Counterparty,Protection,Amount(000 s),Rate,Date,Value,CIK,Reporting Type,Report Year
Barclays Bank plc,Sell,5060000,30.5,1/20/10,633036,0000799102,N-CSR,09
"Morgan Stanley Capital Services, Inc.",Sell,5060000,30.0,1/20/10,620361,0000799102,N-CSR,09
UBS AG,Buy,2220000,5.3,10/20/13,"(53,581",0000799102,N-CSR,09
Credit Suisse International,Sell,18510000,3.75,2/20/13,"(2,011,621",0000799102,N-CSR,09
Credit Suisse International,Sell,15200000,2.7,9/20/10,90121,0000799102,N-CSR,09
Credit Suisse International,Sell,3840000,4.95,3/20/13,"(310,993",0000799102,N-CSR,09
"Morgan Stanley Capital Services, Inc.",Sell,7670000,4.78,3/20/13,"(656,979",0000799102,N-CSR,09
"Morgan Stanley Capital Services, Inc.",Sell,7680000,4.88,3/20/13,"(636,747",0000799102,N-CSR,09
"Citibank NA, New York",Sell,3010000,5.1,3/20/13,"(588,879",0000799102,N-CSR,09
"Morgan Stanley Capital Services, Inc.",Sell,17390000,1.3,3/24/13,"(2,334,147",0000799102,N-CSR,09
"Citibank NA, New York",Buy,12760000,5.25,12/20/13,"(1,825,070",0000799102,N-CSR,09
Goldman Sachs Bank USA,Buy,25520000,5.29,12/20/13,"(3,691,990",0000799102,N-CSR,09
"Citibank NA, New York",Sell,19600000,1.11,8/20/13,"(680,378",0000799102,N-CSR,09
"JPMorgan Chase Bank NA, NY Branch",Sell,9800000,1.1,8/20/13,"(343,757",0000799102,N-CSR,09
Credit Suisse International,Sell,5000000,3.25,4/20/11,"(2,255,648",0000799102,N-CSR,09
"Morgan Stanley Capital Services, Inc.",Sell,4800000,8.75,6/20/10,"(1,594,936",0000799102,N-CSR,09
"Morgan Stanley Capital Services, Inc.",Sell,4800000,8.5,10/20/09,"(22,525",0000799102,N-CSR,09
Goldman Sachs International,Buy,10400000,1.35,9/20/14,135481,0000799102,N-CSR,09
