Counterparty,Reference Entity,Buy/Sell ,(Pay) /Receive ,Expriration ,Notional ,Unrealized,CIK,Reporting Type,Report Year
Citibank,"CIT Group, 7.75%, 4/2/2012",Sell,14.5,9/20/2008,2550000,"(22,688)",0000799295,N-Q,08
Citibank,"TJX Cos., 7.45%, 12/15/2009",Buy,(0.780),3/20/2013,2250000,"(5,924)",0000799295,N-Q,08
Citibank,"Century Tel, 7.875%, 8/15/2012",Buy,(1.160),9/20/2015,853000,21456,0000799295,N-Q,08
Citibank,"Century Tel, 7.875%, 8/15/2012",Buy,(1.190),9/20/2015,1985000,46220,0000799295,N-Q,08
Deutsche Bank,"Campbell Soup Co., 4.875%, 10/1/2013",Buy,(0.530),3/20/2013,2140000,"(13,477)",0000799295,N-Q,08
Deutsche Bank,"Campbell Soup Co., 4.875%, 10/1/2013",Buy,(0.530),3/20/2013,570000,"(3,581)",0000799295,N-Q,08
Deutsche Bank,"Kohls, 6.3%, 3/1/2011",Buy,(1.600),3/20/2013,700000,4622,0000799295,N-Q,08
Deutsche Bank,"Republic of Panama, 8.875%, 9/30/2027",Buy,(1.890),2/20/2013,2750000,"(22,000)",0000799295,N-Q,08
Deutsche Bank,"Reed Elsevier Capital, 4.625%, 6/15/2012",Buy,(0.960),6/20/2012,2130000,995,0000799295,N-Q,08
Deutsche Bank,"R.R. Donnelley & Sons, 4.95%, 4/1/2014",Buy,(1.600),3/20/2012,990000,17643,0000799295,N-Q,08
Deutsche Bank,"Telefonica Emisiones SAU, 4.375%, 2/2/2016",Buy,(0.650),6/20/2009,775000,304,0000799295,N-Q,08
Deutsche Bank,Dow  Jones CDX.NA.IG.9 Index,Buy,(0.800),12/20/2017,5410000,"(32,024)",0000799295,N-Q,08
Goldman Sachs & Co.,"Kohls, 6.3%, 3/1/2011",Buy,(1.680),3/20/2013,580000,1754,0000799295,N-Q,08
J.P. Morgan Chase Bank,"Kohls, 6.3%, 3/1/2011",Buy,(1.550),3/20/2013,600000,5303,0000799295,N-Q,08
J.P. Morgan Chase Bank,"Meadwestvaco, 6.85%, 2012",Buy,(1.100),6/20/2017,2860000,151256,0000799295,N-Q,08
J.P. Morgan Chase Bank,"R.R. Donnelley & Sons, 4.95%, 4/1/2014",Buy,(1.700),12/20/2011,390000,5062,0000799295,N-Q,08
J.P. Morgan Chase Bank,"Weatherford International, 4.95%, 10/15/2013",Buy,(0.920),6/20/2013,1005000,"(1,299)",0000799295,N-Q,08
Lehman Brothers,"Auto Receivable Backed, 2007-1, BBB Index",Sell,1.5,2/15/2014,1410000,"(263,475)",0000799295,N-Q,08
Morgan Stanley ,"Century Tel, 7.875%, 8/15/2012",Buy,(1.150),9/20/2015,247000,6367,0000799295,N-Q,08
Morgan Stanley ,"Goldman, Sachs & Co., 6.6%, 1/15/2012",Buy,(1.370),6/20/2013,4150000,14280,0000799295,N-Q,08
Morgan Stanley ,"Kohls, 6.3%, 3/1/2011",Buy,(1.620),3/20/2013,980000,5594,0000799295,N-Q,08
UBS,"Dow Chemical Co., 6%, 10/1/2012",Buy,(0.960),3/20/2013,1380000,"(7,620)",0000799295,N-Q,08
UBS,"Eastman Chemical Co., 7.6%, 2/1/2027",Buy,(0.970),3/20/2013,5500000,"(13,846)",0000799295,N-Q,08
