Counterparty,Reference Entity,Buy/Sell Protection,Receive Fixed Rate,Expiration Date,Notional Amount,CIK,Reporting Type,Report Year
"

    Citigroup
","

    Constellation Energy Group, Inc.
",Buy,0.240%,06/20/2012,375,0000820892,N-CSRS,07
"

    Deutsche Bank
","

    Countrywide Home Loan
",Buy,0.700%,03/20/2017,300,0000820892,N-CSRS,07
"

    Deutsche Bank
","

    Dow Jones CDX HVOL8 Index
",Buy,0.750%,06/20/2012,1300,0000820892,N-CSRS,07
"

    J.P. Morgan
","

    Bear Stearns Companies, Inc.
",Buy,0.300%,03/20/2012,480,0000820892,N-CSRS,07
"

    J.P. Morgan
","

    Dow Jones CDX HVOL7 Index
",Buy,0.750%,12/20/2011,650,0000820892,N-CSRS,07
"

    J.P. Morgan
","

    Dow Jones CDX HVOL8 Index
",Buy,0.750%,06/20/2012,1500,0000820892,N-CSRS,07
"

    J.P. Morgan
","

    Dow Jones CDX HY7 Index
",Buy,3.250%,12/20/2011,3000,0000820892,N-CSRS,07
"

    UBS
","

    AmerisourceBergen Corp.
",Buy,0.470%,06/20/2012,500,0000820892,N-CSRS,07
"

    UBS
","

    Cardinal Health, Inc.
",Buy,0.270%,06/20/2012,500,0000820892,N-CSRS,07
"

    UBS
","

    Constellation Energy Group, Inc.
",Buy,0.230%,06/20/2012,375,0000820892,N-CSRS,07
"

    UBS
","

    Home Depot
",Buy,0.250%,6/20/2012,1500,0000820892,N-CSRS,07
"

    UBS
","

    McKesson Corp.
",Buy,0.350%,6/20/2012,500,0000820892,N-CSRS,07
"

    UBS
","

    Dow Jones CDX EM6 Index
",Buy,1.400%,12/20/2011,2000,0000820892,N-CSRS,07
"

    UBS
","

    Dow Jones CDX HVOL7 Index
",Buy,0.750%,12/20/2011,750,0000820892,N-CSRS,07
