Swap counterparty/ Referenced debt* , Rating***,Upfront premium received (paid)** ,Notional Amount,Termination  date ,CIK,Reporting Type,Report Year
CMBX NA BBB Index ,BBB /P ,"$3,281 ","$48,000 ",5/11/63 ,0000822671,N-CSRS,13
CMBX NA BBB Index ,BBB /P ,6388,106000,5/11/63 ,0000822671,N-CSRS,13
CMBX NA BBB Index ,BBB /P ,13088,212000,5/11/63 ,0000822671,N-CSRS,13
CMBX NA BBB Index ,BBB /P ,12483,219000,5/11/63 ,0000822671,N-CSRS,13
CMBX NA BBB Index ,BBB /P ,793,27000,5/11/63 ,0000822671,N-CSRS,13
CMBX NA BBB Index ,BBB /P ,1703,89000,5/11/63 ,0000822671,N-CSRS,13
CMBX NA BBB Index ,BBB /P ,822,106000,5/11/63 ,0000822671,N-CSRS,13
CMBX NA BBB Index ,BBB /P ,13078,107000,5/11/63 ,0000822671,N-CSRS,13
CMBX NA BBB Index ,BBB /P ,10475,108000,5/11/63 ,0000822671,N-CSRS,13
CMBX NA BBB Index ,BBB /P ,13770,173000,5/11/63 ,0000822671,N-CSRS,13
CMBX NA BBB Index ,BBB /P ,13884,174000,5/11/63 ,0000822671,N-CSRS,13
CMBX NA BBB Index ,BBB /P ,11512,175000,5/11/63 ,0000822671,N-CSRS,13
CMBX NA BBB Index ,BBB /P ,13627,176000,5/11/63 ,0000822671,N-CSRS,13
CMBX NA BBB Index ,BBB /P ,5416,178000,5/11/63 ,0000822671,N-CSRS,13
CMBX NA BBB Index ,BBB /P ,3136,178000,5/11/63 ,0000822671,N-CSRS,13
CMBX NA BBB Index ,BBB /P ,2888,188000,5/11/63 ,0000822671,N-CSRS,13
CMBX NA BBB Index ,BBB /P ,2473,213000,5/11/63 ,0000822671,N-CSRS,13
CMBX NA BBB Index ,BBB /P ,15589,214000,5/11/63 ,0000822671,N-CSRS,13
CMBX NA BBB Index ,BBB /P ,24292,215000,5/11/63 ,0000822671,N-CSRS,13
CMBX NA BBB Index ,BBB /P ,20951,216000,5/11/63 ,0000822671,N-CSRS,13
CMBX NA BBB Index ,BBB /P ,23758,310000,5/11/63 ,0000822671,N-CSRS,13
CMBX NA BBB Index ,BBB /P ,18139,442000,5/11/63 ,0000822671,N-CSRS,13
NA IG Series 20 Index ,BBB+/P ,"(7,529) ",1370000,6/20/18 ,0000822671,N-CSRS,13
