Swap Counterparty and   Reference Obligation,Buy/Sell   Protection,Notional   Amount   (000),Pay/Receive   Fixed Rate,Termination   Date,Upfront   Payment   Paid   (Received)   (000),Unrealized   Depreciation   (000),Value   (000),Credit   Rating of   Reference   Obligation ,CIK,Reporting Type,Report Year
Bank of America NA   People s Republic of China,Buy,880,1.0,3/20/19,(4,(2,(6,AA-,0000836487,N-Q,14
Bank of America NA   Australian Government,Buy,895,1.0,3/20/19,(23,(2,(25,NR,0000836487,N-Q,14
Bank of America NA   People s Republic of China,Buy,895,1.0,3/20/19,(3,(3,(6,AA-,0000836487,N-Q,14
Bank of America NA   People s Republic of China,Buy,276,1.0,3/20/19,(1,(1,(2,AA-,0000836487,N-Q,14
Bank of America NA   People s Republic of China,Buy,276,1.0,3/20/19,(1,(1,(2,AA-,0000836487,N-Q,14
Bank of America NA   Australian Government,Buy,"1,380",1.0,3/20/19,(36,(4,(40,NR,0000836487,N-Q,14
Bank of America NA   Australian Government,Buy,602,1.0,3/20/19,(15,(2,(17,NR,0000836487,N-Q,14
Bank of America NA   People s Republic of China,Buy,602,1.0,3/20/19,(2,(2,(4,AA-,0000836487,N-Q,14
Barclays Bank PLC   People s Republic of China,Buy,284,1.0,3/20/19,(1,(1,(2,AA-,0000836487,N-Q,14
Barclays Bank PLC   People s Republic of China,Buy,568,1.0,3/20/19,(2,(2,(4,AA-,0000836487,N-Q,14
Barclays Bank PLC   People s Republic of China,Buy,426,1.0,3/20/19,(2,(1,(3,AA-,0000836487,N-Q,14
Barclays Bank PLC   People s Republic of China,Buy,568,1.0,3/20/19,(2,(1,(3,AA-,0000836487,N-Q,14
Barclays Bank PLC   People s Republic of China,Buy,"1,033",1.0,3/20/19,(3,(4,(7,AA-,0000836487,N-Q,14
Deutsche Bank AG   Australian Government,Buy,854,1.0,3/20/19,(23,(2,(25,NR,0000836487,N-Q,14
Deutsche Bank AG   People s Republic of China,Buy,854,1.0,3/20/19,(3,(2,(5,AA-,0000836487,N-Q,14
Deutsche Bank AG   People s Republic of China,Buy,"1,136",1.0,3/20/19,(5,(3,(8,AA-,0000836487,N-Q,14
Deutsche Bank AG   Australian Government,Buy,852,1.0,3/20/19,(22,(2,(24,NR,0000836487,N-Q,14
Deutsche Bank AG   People s Republic of China,Buy,284,1.0,3/20/19,(1,(1,(2,AA-,0000836487,N-Q,14
Deutsche Bank AG   Australian Government,Buy,568,1.0,3/20/19,(15,(1,(16,NR,0000836487,N-Q,14
Deutsche Bank AG   Australian Government,Buy,932,1.0,3/20/19,(24,(3,(27,NR,0000836487,N-Q,14
