Counterparty,"Reference
  Entity/Obligation","Buy/Sell
  Protection (2)","(Pay)/
  Receive
  Fixed
  Rate (%)","Termination
  Date","implied
  Credit
  Spread at
  03/31/09 (%) (3)","Notional
  
  Amount (4)","Market
  Value (5)","Upfront
  Premium
  Paid/
  (Received)","Unrealized
  Appreciation/
  (Depreciation)",CIK,Reporting Type,Report Year
Deutsche Bank AG,"American Express Comp. 4.875%, 07/15/13",Sell,1.75,03/20/13,6.65,"5,300,000","(807,365)","(807,365)",,0000837276,N-Q,09
Deutsche Bank AG,"American International Group 6.250%, 05/01/36",Sell,5.0,12/20/13,21.3,"6,100,000","(2,241,940)","(524,403)","(1,717,537)",0000837276,N-Q,09
Deutsche Bank AG,"Berkshire Hathaway Inc. 4.625%, 10/15/13",Sell,0.85,03/20/13,3.96,"2,200,000","(232,725)","(232,725)",,0000837276,N-Q,09
"Citibank N.A., New York","CIT Group 5.650%, 02/13/17",Sell,5.0,12/20/13,11.76,"1,800,000","(354,259)","(428,201)","73,942",0000837276,N-Q,09
Barclays Bank PLC,"CIT Group 7.750%, 04/02/12",Sell,5.2,03/20/13,12.43,"3,700,000","(692,267)","(692,267)",,0000837276,N-Q,09
Morgan Stanley Capital Services Inc.,"CIT Group 7.750%, 04/02/12",Sell,5.65,03/20/13,12.43,"9,300,000","(1,631,731)","(1,631,731)",,0000837276,N-Q,09
Credit Suisse International             ,"Federative Republic of
  Brazil 12.250%, 03/06/30",Sell,3.35,12/20/09,1.51,"1,000,000","13,311","13,311",,0000837276,N-Q,09
Barclays Bank PLC,"Ford Motor Credit Co. 7.000%, 10/01/13",Sell,5.65,09/20/12,15.03,"700,000","(157,203)","(157,203)",,0000837276,N-Q,09
Goldman Sachs International,"Ford Motor Credit Co. 7.000%, 10/01/13",Sell,3.85,09/20/12,15.03,"200,000","(53,532)","(53,532)",,0000837276,N-Q,09
Barclays Bank PLC,"GAZ Capital (GAZPROM)
  LPN 8.625%, 04/28/34",Sell,1.6,12/20/12,7.77,"5,900,000","(1,086,977)","(1,086,977)",,0000837276,N-Q,09
Morgan Stanley Capital Services Inc.,"GAZ Capital (GAZPROM)
  LPN 8.625%, 04/28/34",Sell,2.18,02/20/13,7.68,"1,200,000","(204,368)","(204,368)",,0000837276,N-Q,09
"UBS AG, London","GAZ Capital (GAZPROM)
  LPN 8.625%, 04/28/34",Sell,2.18,02/20/13,7.68,"1,200,000","(204,368)","(204,368)",,0000837276,N-Q,09
BNP Paribas,"General Electric Capital Corp. 5.625%, 09/15/17",Sell,4.7,12/20/13,7.54,"1,800,000","(173,894)","(173,894)",,0000837276,N-Q,09
"Citibank N.A., New York","General Electric Capital Corp. 5.625%, 09/15/17",Sell,4.0,12/20/13,7.54,"7,600,000","(915,038)","(915,038)",,0000837276,N-Q,09
"Citibank N.A., New York","General Electric Capital Corp. 5.625%, 09/15/17",Sell,4.2,12/20/13,7.54,"6,200,000","(704,333)","(704,333)",,0000837276,N-Q,09
"Citibank N.A., New York","General Electric Capital Corp. 5.625%, 09/15/17",Sell,4.325,12/20/13,7.54,"4,500,000","(492,090)","(492,090)",,0000837276,N-Q,09
"Citibank N.A., New York","General Electric Capital Corp. 5.625%, 09/15/17",Sell,4.85,12/20/13,7.54,"3,600,000","(329,434)","(329,434)",,0000837276,N-Q,09
"Citibank N.A., New York","General Electric Capital Corp. 5.625%, 09/15/17",Sell,3.85,03/20/14,7.48,"7,000,000","(894,335)","(894,335)",,0000837276,N-Q,09
Deutsche Bank AG,"General Electric Capital Corp. 5.625%, 09/15/17",Sell,4.75,12/20/13,7.54,"3,900,000","(370,142)","(370,142)",,0000837276,N-Q,09
Deutsche Bank AG,"General Electric Capital Corp. 5.625%, 09/15/17",Sell,4.23,12/20/13,7.54,"4,200,000","(472,846)","(472,846)",,0000837276,N-Q,09
Goldman Sachs International,"General Electric Capital Corp. 5.625%, 09/15/17",Sell,8.0,03/20/11,8.74,"1,800,000","(22,741)","(22,741)",,0000837276,N-Q,09
Barclays Bank PLC,"General Electric Capital Corp. 6.000%, 06/15/12",Sell,0.62,03/20/11,8.74,"5,700,000","(785,466)","(785,466)",,0000837276,N-Q,09
Barclays Bank PLC,"General Electric Capital Corp. 6.000%, 06/15/12",Sell,0.64,12/20/12,7.8,"5,700,000","(1,165,188)","(1,165,188)",,0000837276,N-Q,09
BNP Paribas,"General Electric Capital Corp. 6.000%, 06/15/12",Sell,0.78,03/20/11,8.74,"1,400,000","(189,122)","(189,122)",,0000837276,N-Q,09
Deutsche Bank AG,"General Electric Capital Corp. 6.000%, 06/15/12",Sell,0.8,06/20/11,8.57,"6,800,000","(993,291)","(993,291)",,0000837276,N-Q,09
Goldman Sachs International,"General Motors 7.125%, 07/15/13",Sell,8.9,03/20/13,151.93,"1,900,000","(1,529,464)","(1,529,464)",,0000837276,N-Q,09
Goldman Sachs International,"General Motors 7.125%, 07/15/13",Sell,9.05,03/20/13,151.93,"2,900,000","(2,331,997)","(2,331,997)",,0000837276,N-Q,09
Barclays Bank PLC,"GMAC LLC 6.875%, 08/28/12",Sell,3.65,09/20/12,21.29,"1,000,000","(358,950)","(358,950)",,0000837276,N-Q,09
Barclays Bank PLC,"GMAC LLC 6.875%, 08/28/12",Sell,4.8,09/20/12,21.29,"1,300,000","(436,219)","(436,219)",,0000837276,N-Q,09
Goldman Sachs International,"GMAC LLC 6.875%, 08/28/12",Sell,3.2,09/20/12,21.29,"1,100,000","(404,915)","(404,915)",,0000837276,N-Q,09
The Royal Bank of Scotland PLC,"Republic of Indonesia 6.750%, 03/10/14",Sell,0.45,06/20/09,5.83,"2,000,000","(23,947)","(23,947)",,0000837276,N-Q,09
