Counterparty,"Reference
  Entity/Obligation","Buy/Sell
  Protection","Fixed
  Rate (%)","Termination
  Date","Spread
  at
  03/31/10 (%) (3)","Notional
  Amount (4)","Market
  Value (5)","Paid/
  (Received)","Appreciation/
  (Depreciation)",CIK,Reporting Type,Report Year
"Credit Suisse
  International","AES Corp. 7.250%,
  03/01/14",Sell,5.0,03/20/14,4.7,2000000,20854,"(188,750)",209604,0000837276,N-Q,10
"Citibank N.A., New York","Aramark Services 8.500%,
  02/01/15",Sell,5.0,03/20/14,4.6,100000,1397,"(2,718)",4115,0000837276,N-Q,10
"Citibank N.A., New York","Community Health Systems
  8.875%, 07/15/15",Sell,5.0,09/20/14,4.84,100000,622,"(9,000)",9622,0000837276,N-Q,10
"Goldman Sachs
  International","Community Health Systems
  8.875%, 07/15/15",Sell,5.0,03/20/14,4.47,2300000,43213,"(209,875)",253088,0000837276,N-Q,10
"Citibank N.A., New York","Dynegy Holdings Inc.
  8.375%, 05/01/16",Sell,5.0,03/20/14,10.47,150000,"(24,468)","(27,000)",2532,0000837276,N-Q,10
"Citibank N.A., New York","Dynegy Holdings Inc.
  8.375%, 05/01/16",Sell,5.0,09/20/14,11.02,300000,"(57,428)","(42,000)","(15,428)",0000837276,N-Q,10
"Credit Suisse
  International","El Paso Corp. 6.875%,
  06/15/14",Sell,5.0,12/20/14,3.38,2500000,170381,"(75,000)",245381,0000837276,N-Q,10
"Goldman Sachs
  International","El Paso Corp. 6.875%,
  06/15/14",Sell,5.0,09/20/14,3.22,3400000,244487,"(323,000)",567487,0000837276,N-Q,10
Barclays Bank PLC,"Federative Republic of
  Brazil 12.250%, 03/06/30",Sell,0.83,09/20/10,0.56,2100000,2721,2721,,0000837276,N-Q,10
Deutsche Bank AG,"GMAC LLC 6.875%,
  08/28/12",Sell,5.0,03/20/12,2.81,340000,13990,"(52,700)",66690,0000837276,N-Q,10
"Merrill Lynch
  International","GMAC LLC 6.875%,
  08/28/12",Sell,5.0,03/20/12,2.81,1400000,57606,"(203,000)",260606,0000837276,N-Q,10
"Goldman Sachs
  International","NRG Energy Inc. 7.250%,
  02/01/14",Sell,4.2,09/20/13,4.17,225000,215,215,,0000837276,N-Q,10
"The Royal Bank of
  Scotland PLC","Republic of Indonesia
  6.750%, 03/10/14",Sell,1.58,09/20/10,0.73,1000000,4081,4081,,0000837276,N-Q,10
"Goldman Sachs
  International","RRI Energy 7.625%,
  06/15/14",Sell,5.0,09/20/14,8.34,3300000,"(379,065)","(610,500)",231435,0000837276,N-Q,10
"Morgan Stanley Capital
  Services Inc.","RRI Energy Inc. 6.750%,
  12/14/12",Sell,5.0,12/20/14,8.18,300000,"(34,142)","(30,000)","(4,142)",0000837276,N-Q,10
Barclays Bank PLC,"SLM Corp. 5.125%,
  08/27/12",Sell,5.0,09/20/11,2.32,2550000,99252,"(184,875)",284127,0000837276,N-Q,10
Barclays Bank PLC,"SLM Corp. 5.125%,
  08/27/12",Sell,5.0,12/20/13,3.31,1000000,56865,"(110,000)",166865,0000837276,N-Q,10
Barclays Bank PLC,"SLM Corp. 5.125%,
  08/27/12",Sell,5.0,09/20/14,3.49,2500000,148385,"(306,250)",454635,0000837276,N-Q,10
Deutsche Bank AG,"SLM Corp. 5.125%,
  08/27/12",Sell,5.0,09/20/10,1.34,100000,1748,"(8,000)",9748,0000837276,N-Q,10
Deutsche Bank AG,"SLM Corp. 5.125%,
  08/27/12",Sell,5.0,06/20/13,3.07,550000,31741,"(70,125)",101866,0000837276,N-Q,10
Deutsche Bank AG,"SLM Corp. 5.125%,
  08/27/12",Sell,5.0,06/20/14,1.34,900000,7388,"(51,750)",59138,0000837276,N-Q,10
"Goldman Sachs
  International","SLM Corp. 5.125%,
  08/27/12",Sell,5.0,06/20/10,1.34,900000,7388,"(54,000)",61388,0000837276,N-Q,10
"Goldman Sachs
  International","SLM Corp. 5.125%,
  08/27/12",Sell,7.6,03/20/12,2.61,250000,23901,23901,,0000837276,N-Q,10
"Citibank N.A., New York","Sungard Data Systems
  Inc. 9.125%, 08/15/13",Sell,5.0,03/20/14,5.35,800000,"(9,704)","(52,216)",42512,0000837276,N-Q,10
Barclays Bank PLC,"United Mexican States
  7.500%, 04/08/33",Sell,1.07,09/20/10,0.52,2100000,5504,5504,,0000837276,N-Q,10
Deutsche Bank AG,"United Mexican States
  7.500%, 04/08/33",Sell,1.55,09/20/10,0.52,2000000,9840,9840,,0000837276,N-Q,10
