Counterparty,"Reference
  Entity/Obligation",Protection,"Rate
  (%)",Date,"03/31/10
  (%) (3)","Amount
  (4)","Value
  (5)",(Received),(Depreciation),CIK,Reporting Type,Report Year
Deutsche Bank AG,"American
  Express Comp. 4.875%, 07/15/13",Sell,1.75,03/20/13,0.62,5300000,174511,174511,,0000837276,N-Q,10
Deutsche Bank AG,"American
  International Group 6.250%, 05/01/36",Sell,5.0,12/20/13,2.29,6100000,572808,"(413,378)",986186,0000837276,N-Q,10
Deutsche Bank AG,"Berkshire
  Hathaway Inc. 4.625%, 10/15/13",Sell,0.85,03/20/13,0.69,2200000,10441,10441,,0000837276,N-Q,10
"Goldman Sachs
  International","Berkshire
  Hathaway Inc. 4.625%, 10/15/13",Sell,1.0,03/20/15,0.98,1500000,1247,"(25,794)",27041,0000837276,N-Q,10
UBS AG,"Berkshire
  Hathaway Inc. 4.625%, 10/15/13",Sell,1.0,03/20/15,0.98,1500000,1247,"(26,462)",27709,0000837276,N-Q,10
Barclays Bank PLC,"Citigroup
  Inc. 6.500%, 01/18/11",Sell,1.0,03/20/11,0.79,600000,1233,"(3,065)",4298,0000837276,N-Q,10
"Goldman
  Sachs International","Citigroup
  Inc. 6.500%, 01/18/11",Sell,1.0,03/20/11,0.79,500000,1027,"(2,411)",3438,0000837276,N-Q,10
UBS AG,"Citigroup
  Inc. 6.500%, 01/18/11",Sell,1.0,03/20/11,0.79,1700000,3493,"(8,196)",11689,0000837276,N-Q,10
Barclays Bank PLC,"Federative
  Republic of Brazil 12.250%, 03/06/30",Sell,1.0,06/20/15,1.31,500000,"(7,461)","(7,187)",(274),0000837276,N-Q,10
"Goldman Sachs
  International","Federative
  Republic of Brazil 12.250%, 03/06/30",Sell,1.0,06/20/15,1.31,500000,"(7,460)","(6,712)",(748),0000837276,N-Q,10
Barclays Bank PLC,"Ford
  Motor Credit Co. 7.000%, 10/01/13",Sell,5.65,09/20/12,2.74,700000,47216,47216,,0000837276,N-Q,10
"Goldman Sachs
  International","Ford
  Motor Credit Co. 7.000%, 10/01/13",Sell,3.85,09/20/12,2.74,200000,5139,5139,,0000837276,N-Q,10
"Barclays Bank PLC,
  London","GAZ
  Capital (GAZPROM) LPN 8.625%, 04/28/34",Sell,1.6,12/20/12,1.73,5900000,"(20,718)","(20,718)",,0000837276,N-Q,10
"Morgan
  Stanley & Co. International","GAZ
  Capital (GAZPROM) LPN 8.625%, 04/28/34",Sell,2.18,02/20/13,1.76,1200000,13907,13907,,0000837276,N-Q,10
"UBS AG, London","GAZ
  Capital (GAZPROM) LPN 8.625%, 04/28/34",Sell,2.18,02/20/13,1.76,1200000,13907,13907,,0000837276,N-Q,10
BNP Paribas,"General
  Electric Capital Corp. 5.625%, 09/15/17",Sell,4.7,12/20/13,1.36,1800000,212055,212055,,0000837276,N-Q,10
"Citibank N.A., New York","General
  Electric Capital Corp. 5.625%, 09/15/17",Sell,3.85,03/20/14,1.38,7000000,647676,647676,,0000837276,N-Q,10
"Citibank N.A., New York","General
  Electric Capital Corp. 5.625%, 09/15/17",Sell,4.0,12/20/13,1.36,7600000,707524,707524,,0000837276,N-Q,10
"Citibank N.A., New York","General
  Electric Capital Corp. 5.625%, 09/15/17",Sell,4.2,12/20/13,1.36,6200000,620968,620968,,0000837276,N-Q,10
"Citibank N.A., New York","General
  Electric Capital Corp. 5.625%, 09/15/17",Sell,4.325,12/20/13,1.36,4500000,470562,470562,,0000837276,N-Q,10
"Citibank N.A., New York","General
  Electric Capital Corp. 5.625%, 09/15/17",Sell,4.85,12/20/13,1.36,3600000,443175,443175,,0000837276,N-Q,10
Deutsche Bank AG,"General
  Electric Capital Corp. 5.625%, 09/15/17",Sell,1.0,03/20/11,0.93,3700000,2542,"(20,561)",23103,0000837276,N-Q,10
Deutsche Bank AG,"General
  Electric Capital Corp. 5.625%, 09/15/17",Sell,4.23,12/20/13,1.36,4200000,425104,425104,,0000837276,N-Q,10
Deutsche Bank AG,"General
  Electric Capital Corp. 5.625%, 09/15/17",Sell,4.75,12/20/13,1.36,3900000,466337,466337,,0000837276,N-Q,10
"Goldman Sachs
  International","General
  Electric Capital Corp. 5.625%, 09/15/17",Sell,8.0,03/20/11,0.94,1800000,123608,123608,,0000837276,N-Q,10
Barclays Bank PLC,"General
  Electric Capital Corp. 6.000%, 06/15/12",Sell,0.62,03/20/11,0.94,5700000,"(17,993)","(17,993)",,0000837276,N-Q,10
Barclays Bank PLC,"General
  Electric Capital Corp. 6.000%, 06/15/12",Sell,0.64,12/20/12,1.29,5700000,"(98,700)","(98,700)",,0000837276,N-Q,10
BNP Paribas,"General
  Electric Capital Corp. 6.000%, 06/15/12",Sell,0.78,03/20/11,0.94,1400000,"(2,239)","(2,239)",,0000837276,N-Q,10
