Counterparty,Obligation,Protection,Rate (%),Date,Amount (4),Value (5),(Received),(Depreciation),CIK,Reporting Type,Report Year
"Citigroup, Inc.",CDX.NA.HY.8 Index   (35-100% Tranche),Sell,0.355,06/20/12,5777640,22603,22603,,0000837276,N-Q,11
Barclays Bank PLC,CDX.NA.IG.9 Index   (30-100% Tranche),Sell,0.758,12/20/12,19868677,241724,241724,,0000837276,N-Q,11
Deutsche Bank AG,CDX.NA.IG.9 Index   (30-100% Tranche),Sell,0.705,12/20/12,13117185,147650,147650,,0000837276,N-Q,11
Goldman Sachs &   Co.,CDX.NA.IG.9 Index   (30-100% Tranche),Sell,0.5479999999999999,12/20/17,2218347,23649,23649,,0000837276,N-Q,11
Deutsche Bank AG,CDX.NA.IG.10 Index   (30-100% Tranche),Sell,0.53,06/20/13,2989946,30164,30164,,0000837276,N-Q,11
Goldman Sachs &   Co.,CDX.NA.IG.10 Index   (30-100% Tranche),Sell,0.463,06/20/13,3761546,32308,32308,,0000837276,N-Q,11
Deutsche Bank AG,CDX.EM.12 Index,Sell,5.0,12/20/14,1400000,152682,103391,49291.0,0000837276,N-Q,11
Barclays Bank PLC,CDX.EM.13 Index,Sell,5.0,06/20/15,200000,23862,20030,3832.0,0000837276,N-Q,11
Barclays Bank PLC,CDX.EM.13 Index,Sell,5.0,06/20/15,5200000,620410,506619,113791.0,0000837276,N-Q,11
Credit Suisse First   Boston,CDX.EM.13 Index,Sell,5.0,06/20/15,1800000,214757,196759,17998.0,0000837276,N-Q,11
Deutsche Bank AG,CDX.EM.13 Index,Sell,5.0,06/20/15,19800000,2362329,2007727,354602.0,0000837276,N-Q,11
Goldman Sachs &   Co.,CDX.EM.13 Index,Sell,5.0,06/20/15,100000,11931,10201,1730.0,0000837276,N-Q,11
Goldman Sachs &   Co.,CDX.EM.13 Index,Sell,5.0,06/20/15,100000,11931,9975,1956.0,0000837276,N-Q,11
HSBC Bank USA,CDX.EM.13 Index,Sell,5.0,06/20/15,12900000,1539094,1291545,247549.0,0000837276,N-Q,11
Morgan Stanley,CDX.EM.13 Index,Sell,5.0,06/20/15,3100000,369860,310996,58864.0,0000837276,N-Q,11
Barclays Bank PLC,CDX.EM.14 Index,Sell,5.0,12/20/15,5800000,754310,698735,55575.0,0000837276,N-Q,11
Deutsche Bank AG,CDX.EM.14 Index,Sell,5.0,12/20/15,5900000,767315,674333,92982.0,0000837276,N-Q,11
HSBC Bank USA,CDX.EM.14 Index,Sell,5.0,12/20/15,1600000,208085,188565,19520.0,0000837276,N-Q,11
Morgan Stanley,CDX.EM.14 Index,Sell,5.0,12/20/15,1400000,182074,164362,17712.0,0000837276,N-Q,11
"Citigroup, Inc.",CDX.EM.14 Index,Sell,5.0,12/20/15,2500000,325133,313648,11485.0,0000837276,N-Q,11
UBS Warburg LLC,CDX.EM.14 Index,Sell,5.0,12/20/15,900000,117048,113044,4004.0,0000837276,N-Q,11
Barclays Bank PLC,CDX.EM.15 Index,Sell,5.0,06/20/16,1900000,263689,254267,9422.0,0000837276,N-Q,11
Deutsche Bank AG,CDX.EM.15 Index,Sell,5.0,06/20/16,1400000,194296,188710,5586.0,0000837276,N-Q,11
Barclays Bank PLC,CDX.NA.HY.15 Index,Sell,5.0,12/20/15,21800000,722814,534044,188770.0,0000837276,N-Q,11
Deutsche Bank AG,CDX.NA.IG.15 Index,Sell,1.0,12/20/15,16500000,118803,"(4,642)",123445.0,0000837276,N-Q,11
