"
SWAP CONTERPARTY &REFERENCE OBLIGATION","
BUY/SELLPROTECTION","
NOTIONALAMOUNT(000'S)","
PAY/RECEIVEFIXED RATE","
TERMINATIONDATE","
UNREALIZEDAPPRECIATION(DEPRECIATION)",CIK,Reporting Type,Report Year
"
Goldman Sachs InternationalHartford Financial ServicesGroup, Inc.","
Buy","
1,000000",0.12,"
December 20, 2011","
6,582",0000837529,N-CSR,07
"
Goldman Sachs InternationalMotorola Inc","
Buy","
330000",0.15,"
December 20, 2011","
4,423",0000837529,N-CSR,07
"
Goldman Sachs InternationalMotorola Inc","
Buy","
670000",0.157,"
December 20, 2011","
8,797",0000837529,N-CSR,07
"
Goldman Sachs InternationalSouthwest Airlines Co.","
Buy","
1050000",0.22,"
December 20, 2011","
10,039",0000837529,N-CSR,07
"
Goldman Sachs InternationalUnion Pacific","
Buy","
500000",0.2,"
December 20, 2011","
2,644",0000837529,N-CSR,07
"
Goldman Sachs InternationalChubb Corp","
Buy","
950000",0.1,"
March 20, 2012","
8,272",0000837529,N-CSR,07
"
Citibank, N.A., New YorkCovidien Ltd.","
Buy","
387000",0.43,"
March 20, 2012","
(1,888",0000837529,N-CSR,07
"
Citibank, N.A., New YorkCovidien Ltd.","
Buy","
200000",0.43,"
March 20, 2012","
(977",0000837529,N-CSR,07
"
Goldman Sachs InternationalDell Inc","
Buy","
495000",0.22,"
March 20, 2012","
408",0000837529,N-CSR,07
"
Citibank, N.A., New YorkTyco Electronics","
Buy","
387000",0.43,"
March 20, 2012","
4,323",0000837529,N-CSR,07
"
Citibank, N.A., New YorkTyco International","
Buy","
387000",0.43,"
March 20, 2012","
4,323",0000837529,N-CSR,07
"
Citibank, N.A., New YorkTyco Electronics","
Buy","
200000",0.43,"
March 20, 2012","
2,236",0000837529,N-CSR,07
"
Citibank, N.A., New YorkTyco International","
Buy","
200000",0.43,"
March 20, 2012","
2,236",0000837529,N-CSR,07
"
Goldman Sachs InternationalSLM Corp","
Sell","
775000",0.737,"
June 20, 2012","
(73,432",0000837529,N-CSR,07
"
JPMorgan Chase & Co.Belo Corp","
Buy","
175000",1.18,"
June 20, 2014","
4,803",0000837529,N-CSR,07
"
JPMorgan Chase & Co.Belo Corp","
Buy","
500000",1.3,"
June 20, 2014","
10,431",0000837529,N-CSR,07
"
Goldman Sachs InternationalResidential Capital","
Sell","
800000",2.0,"
March 20, 2017","
(100,143",0000837529,N-CSR,07
