SWAP COUNTERPARTY AND REFERENCE OBLIGATION,PROTECTION,(000 S),RATE,DATE,(DEPRECIATION),CIK,Reporting Type,Report Year
"Goldman Sachs International
  Hartford Financial Services Group Inc.",Buy,1000,0.12,"December 20, 2011",(661,0000837529,N-Q,07
"Goldman Sachs International
  Motorola, Inc.",Buy,330,0.15,"December 20, 2011",2612,0000837529,N-Q,07
"Goldman Sachs International
  Motorola, Inc.",Buy,670,0.157,"December 20, 2011",5108,0000837529,N-Q,07
"Goldman Sachs International
  Union Pacific Corporation",Buy,1000,0.2,"December 20, 2011",2314,0000837529,N-Q,07
"Goldman Sachs International
  Southwest Airlines Co.",Buy,1050,0.22,"December 20, 2011",6520,0000837529,N-Q,07
"Goldman Sachs International
  Chubb Corp",Buy,950,0.1,"March 20, 2012",479,0000837529,N-Q,07
"Goldman Sachs International
  Dell Inc",Buy,495,0.22,"March 20, 2012",(191,0000837529,N-Q,07
"Goldman Sachs International
  Tyco International Ltd.",Buy,1160,0.43,"March 20, 2012",6938,0000837529,N-Q,07
"Goldman Sachs International
  Tyco International Ltd.",Buy,600,0.43,"March 20, 2012",3588,0000837529,N-Q,07
"Goldman Sachs International
  SLM Corp",Sell,775,0.737,"June 20, 2012","(32,449",0000837529,N-Q,07
"Goldman Sachs International
  Residential Capital",Sell,800,2.0,"March 20, 2017",1112,0000837529,N-Q,07
