SWAP COUNTERPARTY & REFERENCE OBLIGATION,PROTECTION,NOTIONAL AMOUNT(000 s),RATE,DATE,(DEPRECIATION),CIK,Reporting Type,Report Year
"DJ
  CDX, N.A.",Sell,440,1.4,"December 20,
  2012",4322,0000839302,N-Q,08
"DJ
  CDX, N.A.",Sell,455,1.4,"December 20,
  2012",3922,0000839302,N-Q,08
"DJ
  CDX, N.A.",Sell,775,1.4,"December 20,
  2012",9475,0000839302,N-Q,08
"SLM
  Corp.",Sell,125,4.95,"March 20,
  2013",7741,0000839302,N-Q,08
"SLM
  Corp.",Sell,125,5.0,"March 20,
  2013",7979,0000839302,N-Q,08
"ABX
  He",Buy,130,0.18,"July 25,
  2045","(11,517",0000839302,N-Q,08
"ABX
  He",Buy,130,0.18,"July 25,
  2045","(12,817",0000839302,N-Q,08
"American
  Standard Inc.",Buy,85,0.5,"March 20,
  2013",(3,0000839302,N-Q,08
"American
  Standard Inc.",Buy,45,0.6,"March 20,
  2018",177,0000839302,N-Q,08
"American
  Standard Inc.",Buy,245,0.5,"March 20,
  2013",(7,0000839302,N-Q,08
"American
  Standard Inc.",Buy,260,0.6,"March 20,
  2018",1022,0000839302,N-Q,08
"Arrow
  Electronics Inc.",Buy,280,1.0,"March 20,
  2015","(4,264",0000839302,N-Q,08
"Arrow
  Electronics Inc.",Buy,65,1.11,"March 20,
  2013","(1,207",0000839302,N-Q,08
"Arrow
  Electronics Inc.",Buy,45,1.04,"March 20,
  2018",(850,0000839302,N-Q,08
"Arrow
  Electronics Inc.",Buy,295,1.4,"March 20,
  2013","(9,197",0000839302,N-Q,08
"Avalonbay
  Communities",Buy,430,3.05,"March 20,
  2013","(34,565",0000839302,N-Q,08
"Carnival
  Corp.",Buy,260,1.57,"March 20,
  2018","(5,320",0000839302,N-Q,08
