CounterParty,Reference Entity/Obligation,Protection,"Fixed
  Rate (%)",Date, Amount ,(Depreciation),CIK,Reporting Type,Report Year
Barclays Bank PLC,"Standard
  Chartered Bank 3.625%, 02/03/17",Buy,(0.750),12/20/17,373000,65943,0000846799,N-Q,08
"Citibank N.A., New York","Standard
  Chartered Bank 3.625%, 02/03/17",Buy,(0.670),09/20/17,194000,34708,0000846799,N-Q,08
UBS AG,"Standard
  Chartered Bank 3.625%, 02/03/17",Buy,(0.420),09/20/17,720000,140331,0000846799,N-Q,08
"Goldman Sachs
  International","Temple-Inland
  Inc. 7.875%, 05/01/12",Buy,(1.040),03/20/14,414000,35750,0000846799,N-Q,08
"JPMorgan Chase Bank
  N.A., New York","Temple-Inland
  Inc. 7.875%, 05/01/12",Buy,(0.890),03/20/14,905000,84155,0000846799,N-Q,08
"JPMorgan Chase Bank
  N.A., New York","Temple-Inland
  Inc. 7.875%, 05/01/12",Buy,(1.020),03/20/14,1181000,103027,0000846799,N-Q,08
"Morgan Stanley Capital
  Services Inc.","Temple-Inland
  Inc. 7.875%, 05/01/12",Buy,(0.900),03/20/14,793000,73389,0000846799,N-Q,08
"Morgan Stanley Capital
  Services Inc.","Temple-Inland
  Inc. 7.875%, 05/01/12",Buy,(1.600),09/20/17,811000,64435,0000846799,N-Q,08
UBS AG,"Temple-Inland
  Inc. 7.875%, 05/01/12",Buy,(0.900),03/20/14,847000,78387,0000846799,N-Q,08
"Citibank N.A., New York","UniCredit
  S.p.A. 4.375%, 02/10/14",Buy,(0.590),09/20/18,244000,13197,0000846799,N-Q,08
"Citibank N.A., New York","UniCredit
  S.p.A. 4.375%, 02/10/14",Buy,(0.775),09/20/18,1147000,46175,0000846799,N-Q,08
"Citibank N.A., New York","VF
  Corp. 8.500%, 10/01/10",Buy,(0.700),09/20/13,279000,426,0000846799,N-Q,08
"Citibank N.A., New York","VF
  Corp. 8.500%, 10/01/10",Buy,(0.800),09/20/13,139000,(409),0000846799,N-Q,08
"Citibank N.A., New York","VF
  Corp. 8.500%, 10/01/10",Buy,(0.800),09/20/13,262000,(770),0000846799,N-Q,08
"Citibank N.A., New York","VF
  Corp. 8.500%, 10/01/10",Buy,(0.770),09/20/13,291000,(465),0000846799,N-Q,08
"Morgan Stanley Capital
  Services Inc.","VF
  Corp. 8.500%, 10/01/10",Buy,(0.850),09/20/13,596000,"(3,083)",0000846799,N-Q,08
"Citibank N.A., New York","Wachovia
  Corp. 3.625%, 02/17/09",Sell,1.17,03/20/13,1198000,"(142,909)",0000846799,N-Q,08
"Citibank N.A., New York","Wachovia
  Corp. 3.625%, 02/17/09",Sell,2.95,03/20/13,697000,"(39,630)",0000846799,N-Q,08
"Citibank N.A., New York","Westpac
  Banking Corp. 5.875%, 04/29/18",Buy,(0.350),09/20/17,720000,84761,0000846799,N-Q,08
UBS AG,"Westpac
  Banking Corp. 5.875%, 4/29/18",Buy,(0.510),09/20/17,661000,70569,0000846799,N-Q,08
"JPMorgan Chase Bank
  N.A., New York","Weyerhaeuser
  Co. 6.750%, 03/15/12",Buy,(0.640),03/20/14,974000,56699,0000846799,N-Q,08
Barclays Bank PLC ,"Weyerhaeuser
  Co. 7.125%, 07/15/23",Sell,0.78,09/20/12,874000,"(27,664)",0000846799,N-Q,08
"Citibank N.A., New York","Whirlpool
  Corp. 7.750%, 07/15/16",Buy,(1.210),09/20/13,838000,"(2,815)",0000846799,N-Q,08
"Citibank N.A., New York","Whirlpool
  Corp. 7.750%, 07/15/16",Buy,(1.250),09/20/13,84000,(430),0000846799,N-Q,08
"Citibank N.A., New York","Whirlpool
  Corp. 7.750%, 07/15/16",Buy,(1.330),09/20/13,502000,"(4,338)",0000846799,N-Q,08
"Citibank N.A., New York","Whirlpool
  Corp. 7.750%, 07/15/16",Buy,(1.400),09/20/13,305000,"(3,576)",0000846799,N-Q,08
"Citibank N.A., New York","Whirlpool
  Corp. 7.750%, 07/15/16",Buy,(1.400),09/20/13,192000,"(2,251)",0000846799,N-Q,08
"Morgan Stanley Capital
  Services Inc.","Whirlpool
  Corp. 7.750%, 07/15/16",Buy,(1.680),09/20/13,336000,"(8,081)",0000846799,N-Q,08
"Citibank N.A., New York","Williams
  Partners LP 7.500%, 06/15/11",Sell,1.03,03/20/12,1036947,"(9,430)",0000846799,N-Q,08
