Reference Entity,Counterparty,Buy/Sell Credit Protection,Notional Amount(000 s),Receive Fixed Rate,Payment Termination Date,CIK,Reporting Type,Report Year
"Amgen, Inc.",Barclays Bank plc,Buy,17940,1.0,3/20/16,0000850134,N-CSRS,11
Bristol-Myers Squibb Co.,"Citibank NA, New York",Buy,18070,1.0,3/20/16,0000850134,N-CSRS,11
Campbell Soup Co.,Credit Suisse International,Buy,17950,1.0,3/20/16,0000850134,N-CSRS,11
CBS Corp.,Barclays Bank plc,Sell,18070,1.0,3/20/16,0000850134,N-CSRS,11
"CDX Emerging Markets Index, Series 15:",Barclays Bank plc,Buy,39475,5.0,6/20/16,0000850134,N-CSRS,11
"CDX Emerging Markets Index, Series 15:",Merrill Lynch International,Buy,40265,5.0,6/20/16,0000850134,N-CSRS,11
"CDX North America High Yield Index, Series 15:",Credit Suisse International,Sell,19750,5.0,12/20/15,0000850134,N-CSRS,11
"CDX North America High Yield Index, Series 15:","JPMorgan Chase Bank NA,
NY Branch",Sell,19750,5.0,12/20/15,0000850134,N-CSRS,11
"CDX North America High Yield Index, Series 15:","JPMorgan Chase Bank NA,
NY Branch",Sell,23700,5.0,12/20/15,0000850134,N-CSRS,11
"CDX North America High Yield Index, Series 15:",UBS AG,Sell,23700,5.0,12/20/15,0000850134,N-CSRS,11
"Cisco Systems, Inc.",Barclays Bank plc,Buy,17950,1.0,3/20/16,0000850134,N-CSRS,11
Federative Republic of Brazil:,Barclays Bank plc,Sell,7360,1.0,3/20/16,0000850134,N-CSRS,11
Federative Republic of Brazil:,Credit Suisse International,Sell,6485,1.0,6/20/16,0000850134,N-CSRS,11
Istanbul Bond Co. SA for Finansbank AS,"Morgan Stanley Capital Services, Inc.",Sell,15590,1.3,3/24/13,0000850134,N-CSRS,11
Petroleos de Venezuela SA,Barclays Bank plc,Sell,15535,5.0,7/20/11,0000850134,N-CSRS,11
Republic of Hungary:,Barclays Bank plc,Sell,4670,1.0,3/20/16,0000850134,N-CSRS,11
Republic of Hungary:,Barclays Bank plc,Sell,8970,1.0,6/20/16,0000850134,N-CSRS,11
