Swap Counterparty,Protection,(000 s),Rate,Date,(Paid),Value,(Depreciation),CIK,Reporting Type,Report Year
Credit Suisse International,Sell,11656000,5.0,6/20/14,1386579,"(776,979",609600,0000850134,N-CSR,09
"JPMorgan Chase Bank NA,
NY Branch",Sell,8742000,5.0,6/20/14,1044184,"(582,734",461450,0000850134,N-CSR,09
Credit Suisse International,Buy,5705000,5.3,10/20/13,"(137,693","(137,693",,0000850134,N-CSR,09
Barclays Bank plc,Sell,12870000,5.0,9/20/14,5633485,"(4,438,230",1195255,0000850134,N-CSR,09
Barclays Bank plc,Buy,12870000,1.0,9/20/14,348401,"(316,125",32276,0000850134,N-CSR,09
Credit Suisse International,Sell,20660000,3.75,2/20/13,"(2,245,278","(2,245,278",,0000850134,N-CSR,09
Barclays Bank plc,Buy,12400000,1.0,9/20/14,252186,"(292,750","(40,564",0000850134,N-CSR,09
Credit Suisse International,Sell,9250000,2.7,9/20/10,54843,54843,,0000850134,N-CSR,09
Deutsche Bank AG,Buy,12400000,1.0,9/20/14,307969,"(292,750",15219,0000850134,N-CSR,09
Credit Suisse International,Sell,4040000,4.95,3/20/13,"(327,191","(327,191",,0000850134,N-CSR,09
"Morgan Stanley Capital
Services, Inc.",Sell,8080000,4.88,3/20/13,"(669,911","(669,911",,0000850134,N-CSR,09
"Morgan Stanley Capital
Services, Inc.",Sell,8090000,4.78,3/20/13,"(692,954","(692,954",,0000850134,N-CSR,09
Goldman Sachs International,Sell,12400000,1.0,9/20/14,890104,"(274,905",615199,0000850134,N-CSR,09
Deutsche Bank AG,Sell,6125000,5.0,9/20/14,1008073,"(694,462",313611,0000850134,N-CSR,09
Deutsche Bank AG,Sell,6745000,5.0,9/20/14,919943,"(764,759",155184,0000850134,N-CSR,09
"Citibank NA, New York",Sell,4860000,5.1,3/20/13,"(950,814","(950,814",,0000850134,N-CSR,09
