Counterparty,Protection,(000 s),Rate,Date,(Paid),Value,(Depreciation),CIK,Reporting Type,Report Year
Goldman Sachs International,Buy,13530000,1,3/20/15,417097,"(398,565",18532,0000850134,N-CSR,10
Deutsche Bank AG,Buy,13450000,1,3/20/15,447972,"(428,783",19189,0000850134,N-CSR,10
Credit Suisse International,Sell,13530000,1,3/20/15,56991,"(241,746","(184,755",0000850134,N-CSR,10
Barclays Bank plc,Sell,31982000,5,12/20/14,3035324,183810,3219134,0000850134,N-CSR,10
Barclays Bank plc,Sell,13068000,5,12/20/14,"(9,075",74332,65257,0000850134,N-CSR,10
Barclays Bank plc,Sell,13068000,5,12/20/14,"(96,195","(182,856","(279,051",0000850134,N-CSR,10
"Citibank NA, New York",Sell,9207000,5,12/20/14,"(67,774",52370,"(15,404",0000850134,N-CSR,10
"Citibank NA, New York",Sell,12375000,5,12/20/14,"(165,000",70390,"(94,610",0000850134,N-CSR,10
"Citibank NA, New York",Sell,12375000,5,12/20/14,36953,70390,107343,0000850134,N-CSR,10
Goldman Sachs International,Sell,19191000,5,12/20/14,1663879,110297,1774176,0000850134,N-CSR,10
Goldman Sachs International,Sell,31982000,5,12/20/14,3015133,183810,3198943,0000850134,N-CSR,10
"JPMorgan Chase Bank NA, NY Branch",Sell,6930000,5,12/20/14,363825,39350,403175,0000850134,N-CSR,10
"JPMorgan Chase Bank NA, NY Branch",Sell,13068000,5,12/20/14,"(132,495",74332,"(58,163",0000850134,N-CSR,10
Morgan Stanley & Co. International Ltd.,Sell,12375000,5,12/20/14,"(53,281",70390,17109,0000850134,N-CSR,10
Morgan Stanley & Co. International Ltd.,Sell,13068000,5,12/20/14,"(13,612",74332,60720,0000850134,N-CSR,10
Morgan Stanley & Co. International Ltd.,Sell,12900000,5,12/20/14,"(25,719",25719,,0000850134,N-CSR,10
UBS AG,Sell,12375000,5,12/20/14,"(106,563",70390,"(36,173",0000850134,N-CSR,10
"Citibank NA, New York",Buy,13380000,1,3/20/15,307950,"(274,261",33689,0000850134,N-CSR,10
