Counterparty,Protection,Amount(000 s),Rate,Date,(Paid),Value,(Depreciation),CIK,Reporting Type,Report Year
Citibank NA,Sell,17320000,1.0,3/20/17,900834,"(908,803","(7,969",0000850134,N-CSR,12
UBS AG,Sell,16760000,1.0,3/20/17,945949,"(487,303",458646,0000850134,N-CSR,12
Credit Suisse International,Buy,16760000,1.0,3/20/17,"(197,279","(273,739","(471,018",0000850134,N-CSR,12
"Morgan Stanley Capital Services, Inc.",Sell,15590000,1.3,3/24/13,"(328,819","(328,819",,0000850134,N-CSR,12
Credit Suisse International,Sell,17090000,1.0,3/20/17,19924,"(25,875","(5,951",0000850134,N-CSR,12
Credit Suisse International,Buy,17090000,1.0,3/20/17,"(434,724",257344,"(177,380",0000850134,N-CSR,12
Goldman Sachs Bank USA,Buy,54140000,1.0,6/20/17,"(2,040,523",2245534,205011,0000850134,N-CSR,12
Bank of America NA,Sell,16760000,5.0,3/20/17,587383,651978,1239361,0000850134,N-CSR,12
Bank of America NA,Sell,17320000,1.0,3/20/17,893299,"(905,385","(12,086",0000850134,N-CSR,12
Goldman Sachs Bank USA,Sell,54140000,1.0,6/20/17,3025409,"(3,373,047","(347,638",0000850134,N-CSR,12
HSBC Bank USA NA,Sell,3010000,1.0,6/20/17,14903,"(29,469","(14,566",0000850134,N-CSR,12
