Reference Entity ,Date  ,Dealer (1) ,Amount($000) ,Fixed Rate(Paid)  ,CIK,Reporting Type,Report Year
 Lehman Brothers Holdings Inc.,6/20/2008 ,DBS ,800,0.180%,0000857490,N-Q,08
 Procter & Gamble,9/20/2008 ,DBS ,2500,0.120%,0000857490,N-Q,08
 Procter & Gamble,9/20/2008 ,DBS ,2500,0.120%,0000857490,N-Q,08
 Procter & Gamble,9/20/2008 ,DBS ,2500,0.120%,0000857490,N-Q,08
 Burlington Northern Santa Fe Corp.,6/20/2012 ,DBS ,400,0.400%,0000857490,N-Q,08
 Johnson & Johnson,9/20/2012 ,UBS ,160,0.080%,0000857490,N-Q,08
 Johnson & Johnson,9/20/2012 ,GSI ,410,0.070%,0000857490,N-Q,08
 Lehman Brothers Holdings Inc.,12/20/2012 ,BOA ,325,1.190%,0000857490,N-Q,08
 Lehman Brothers Holdings Inc.,12/20/2012 ,BOA ,325,1.190%,0000857490,N-Q,08
 Lehman Brothers Holdings Inc.,12/20/2012 ,BOA ,325,1.190%,0000857490,N-Q,08
 AT&T Inc.,6/20/2013 ,GSI ,300,(1.040%),0000857490,N-Q,08
 AT&T Inc.,6/20/2013 ,GSI ,300,(1.040%),0000857490,N-Q,08
 AT&T Inc.,6/20/2013 ,GSI ,300,(1.040%),0000857490,N-Q,08
