Counterparty,ExpirationDate,NotionalAmount,Swap Details,UnrealizedAppreciation/(Depreciation),ImpliedCreditSpread*,CIK,Reporting Type,Report Year
UBS AG,12/20/2016,"4,320,000",Pay: Grohe Holding Gmbh(T)Receive: Fixed rate equal to 5.00%,"860,713",0.38%,0000863903,N-CSR,14
Deutsche Bank,12/20/2016,"4,320,000",Pay: Grohe Holding Gmbh(T)Receive: Fixed rate equal to 5.00%,"1,523,297",0.38%,0000863903,N-CSR,14
Goldman Sachs International,12/20/2017,"8,440,000",Pay: Chesapeake Energy(T)Receive: Fixed rate equal to 5.00%,"1,188,975",1.49%,0000863903,N-CSR,14
Goldman Sachs International,12/20/2017,"9,935,000",Pay: Chesapeake Energy(T)Receive: Fixed rate equal to 5.00%,"2,070,194",1.49%,0000863903,N-CSR,14
Goldman Sachs International,12/20/2017,"9,940,000",Pay: Chesapeake Energy(T)Receive: Fixed rate equal to 5.00%,"2,071,235",1.49%,0000863903,N-CSR,14
Deutsche Bank,03/20/2018,"3,460,000",Pay: Rite Aid(T)Receive: Fixed rate equal to 5.00%,"556,466",1.99%,0000863903,N-CSR,14
Goldman Sachs International,03/20/2018,"5,000,000",Pay: Rite Aid(T)Receive: Fixed rate equal to 5.00%,"804,142",1.99%,0000863903,N-CSR,14
Goldman Sachs International,03/20/2018,"5,000,000",Pay: Rite Aid(T)Receive: Fixed rate equal to 5.00%,"816,642",1.99%,0000863903,N-CSR,14
Morgan Stanley,06/20/2018,"4,500,000",Pay: New Albertsons(T)Receive: Fixed rate equal to 5.00%,"92,930",7.00%,0000863903,N-CSR,14
Morgan Stanley,06/20/2018,"4,515,000",Pay: New Albertsons(T)Receive: Fixed rate equal to 5.00%,"104,527",7.00%,0000863903,N-CSR,14
