COUNTERPARTY,REFERENCE ENTITY/OBLIGATION,PROTECTION,FIXED RATE (%),DATE,AMOUNT,(DEPRECIATION),CIK,Reporting Type,Report Year
UBS AG,"LCDX.NA.8
  Index",Sell,1.2,06/20/12,520000,42329,0000877233,N-Q,07
Merrill Lynch International,"Lennar
  Corp. 5.950%, 03/01/13",Buy,(2.300),09/20/12,220000,4427,0000877233,N-Q,07
UBS AG,"Lennar
  Corp. 5.950%, 03/01/13",Buy,(1.230),09/20/12,547000,32882,0000877233,N-Q,07
UBS AG,"Lennar
  Corp. 5.950%, 03/01/13",Buy,(1.400),09/20/12,483000,25584,0000877233,N-Q,07
JPMorgan Chase Bank N.A.,"Macy s
  Inc. 6.625%, 04/01/11",Buy,(0.980),09/20/12,200000,"(1,939)",0000877233,N-Q,07
UBS AG,"Macy s
  Inc. 6.625%, 04/01/11",Buy,(0.980),09/20/12,420000,"(3,816)",0000877233,N-Q,07
Barclays Bank PLC,"Merrill
  Lynch & Co. 5.000%, 01/15/15",Buy,(0.860),09/20/12,552000,541,0000877233,N-Q,07
UBS AG,"Merrill
  Lynch & Co. 5.000%, 01/15/15",Buy,(0.830),09/20/12,98000,(123),0000877233,N-Q,07
"Bear Stearns Credit Products
  Inc.","Norbord
  Inc. 7.250%, 07/01/12",Buy,(1.600),06/20/12,241000,3271,0000877233,N-Q,07
Credit Suisse International,"Norbord
  Inc. 7.250%, 07/01/12",Buy,(1.450),06/20/14,375000,17022,0000877233,N-Q,07
UBS AG,"Norbord
  Inc. 7.250%, 07/01/12",Buy,(1.500),06/20/12,49500,884,0000877233,N-Q,07
UBS AG,"Norfolk
  Southern Corp. 7.700%, 05/15/17",Buy,(0.400),09/20/12,315000,(238),0000877233,N-Q,07
"Lehman Brothers Special
  Financing Inc.","Radian
  Group Inc. 5.375%, 06/15/15",Sell,3.9,09/20/14,490200,"(14,297)",0000877233,N-Q,07
UBS AG,"Radian
  Group Inc. 5.375%, 06/15/15",Buy,(0.850),09/20/14,490200,83703,0000877233,N-Q,07
"Citibank N.A., New York","Royal
  Bank of Scotland PLC 6.000%, 05/10/13",Buy,(0.290),09/20/17,240000,5604,0000877233,N-Q,07
UBS AG,"Royal
  Bank of Scotland PLC 6.000%, 05/10/13",Buy,(0.400),09/20/17,186000,2690,0000877233,N-Q,07
"Citibank N.A., New York","Simon
  Property Group 6.350%, 08/28/12",Buy,(0.380),09/20/12,51000,685,0000877233,N-Q,07
"Citibank N.A., New York","Societe
  Generale 6.625%, 04/27/15",Buy,(0.510),09/20/17,50000,109,0000877233,N-Q,07
"Citibank N.A., New York","Societe
  Generale 6.625%, 04/27/15",Buy,(0.510),09/20/17,113000,250,0000877233,N-Q,07
UBS AG,"Societe
  Generale 6.625%, 04/27/15",Buy,(0.380),09/20/17,186000,2337,0000877233,N-Q,07
"Citibank N.A., New York","Standard
  Chartered Bank 3.625%, 02/03/17",Buy,(0.670),09/20/17,50000,520,0000877233,N-Q,07
