Counterparty,Notional amount,Termination dates,Fixed Rate,Unrealized appreciation(depreciation),Value,CIK,Reporting Type,Report Year
Citigroup,103000000,07/03/08,2.6838,"$12,273",,0000880943,N-CSRS,08
Citigroup,107000000,07/03/08,2.6838,"(12,480",,0000880943,N-CSRS,08
Citigroup,106000000,08/02/08,2.85,"(74,383",,0000880943,N-CSRS,08
Bank AG,103000000,06/12/08,2.9013,4931,,0000880943,N-CSRS,08
Bank AG,106000000,07/09/08,2.71,"(16,032",,0000880943,N-CSRS,08
International,103000000,06/12/08,2.9013,5589,,0000880943,N-CSRS,08
International,6400000,03/17/10,2.5788,"(81,171",,0000880943,N-CSRS,08
Chase Bank,85500000,08/24/11,3.23,"(918,883",,0000880943,N-CSRS,08
Chase Bank,22500000,08/24/19,1.9,775002,,0000880943,N-CSRS,08
Merrill Lynch,103000000,06/05/08,3.0144,"(11,019",,0000880943,N-CSRS,08
Merrill Lynch,106000000,07/09/08,2.71,"(16,032",,0000880943,N-CSRS,08
Merrill Lynch,62800000,03/15/10,4.78,"(202,938",,0000880943,N-CSRS,08
Merrill Lynch,13700000,08/31/12,5.67,"(393,893",,0000880943,N-CSRS,08
Merrill Lynch,17800000,02/15/15,4.1943,257645,,0000880943,N-CSRS,08
Merrill Lynch,7900000,05/15/16,4.1717,201218,,0000880943,N-CSRS,08
